asdfasdfgsxcvg
Cluster Name,col1,col2,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,angDist,objID,RAJ2000_x,DEJ2000_x,errHalfMaj_x,errHalfMin_x,errPosAng_x,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist_x,ra_epoch2000,dec_epoch2000,errHalfMaj_xa,errHalfMin_xa,errPosAng_xa,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist_xa
Hyades,64.87461,21.75372,04192976+2145141,64.874034,21.753925,0.08,0.06,90,10.106,9.442,9.222,0.021,0.02,0.018,AAA,222,0,2450752.8329,2.062485,134100648743015328,64.8744549,21.75378538,0.033,0.032,0,906289152,108,55469.4378125,0,22,14.567,0.0076,14.6089,0.0069,16696,12.746,,,,16420,12.079,,,,4,11.621,,,,4,11.411,,,,16420,1.494397,64.8741033967414,21.7538835994028,0.003,0.002,90,49520255665123328,64.87460904003,0.0726,21.75371632297,0.0318,20.9048,0.0727,109.076,0.172,-38.851,0.097,false,135153,164.382,12.861299,27492,172.529,14.253371,166747,397.317,11.706774,2.546598,,,0,3923.21,,,,,0.27578
Hyades,60.20378,18.19388,04004874+1811383,60.203097,18.193983,0.11,0.08,0,5.236,5.077,5.047,0.019,0.031,0.016,EAA,111,0,2450750.8772,2.36512,129830602023543615,60.20234484,18.19415113,0.016,0.016,90,276901888,33,55462.49700231,0,4,,,,,0,,,,,0,,,,,0,13.2518,0.0321,11.6331,0.1513,16777240,12.4549,0.0033,9.3082,0.001,16777240,2.642648,60.2031912442454,18.1940000757299,0.003,0.002,90,49729231594420096,60.2037829246,0.0732,18.19388143326,0.0384,21.7749,0.0813,130.552,0.166,-27.556,0.099,false,9.10506E+07,51070,5.790159,5.6422E+07,78309.9,5.972767,4.94099E+07,98088.1,5.527386,0.445381,,,0,7135.68,,,1.79,7.477,0.328127
Hyades,59.80696,20.42805,03591350+2025415,59.806276,20.428217,0.07,0.07,0,9.973,9.348,9.094,0.021,0.025,0.019,AAA,222,0,2450750.8412,2.384573,132510598067564273,59.80665985,20.4282039,0.012,0.012,90,1375887360,164,56789.08270833,1,26,14.2136,0.0029,14.2326,0.004,280,12.9808,0.0028,13.4627,0.0547,24,12.158,0.0179,12.9643,0.0057,24,11.3818,0.0113,12.4159,0.0066,114744,11.194,0.0122,11.605,0.0165,24,1.295814,59.8063431510625,20.428207410243,0.001,0.001,90,51383893515451392,59.80696458179,0.0389,20.42804912058,0.0212,22.7348,0.0418,135.255,0.094,-36.764,0.053,true,176687,76.6779,12.570355,40248.5,72.5811,13.839513,207750,232.597,11.468065,2.371448,36.84,0.85,13,4008.51,0.2917,0.1517,,,0.229156
Hyades,66.06127,21.73605,04241455+2144105,66.060634,21.736277,0.06,0.06,90,6.148,5.946,5.871,0.023,0.026,0.02,AAA,111,0,2450752.8819,2.278404,134080660611324092,66.06076,21.73622907,0,0,90,268959744,32,51989.22611111,0,10,7.5267,0.0156,11.1552,0.0407,88,,,,,64,7.3085,0.0096,10.9808,0.0099,88,7.6187,0.0239,10.5277,0.1831,88,6.9551,0.001,8.895,0.001,80,0.45531,66.0607231240487,21.7362457974275,0.002,0.001,90,145373377272257664,66.06126789418,0.0414,21.73604857832,0.0246,23.1073,0.0386,117.531,0.099,-45.806,0.075,true,3.01535E+07,6762.47,6.990021,1.70038E+07,18798.8,7.27502,1.84865E+07,29702.3,6.594785,0.680235,38.34,0.16,20,6225.33,0.082,0.0483,1.27,2.192,0.3185
Hyades,67.00371,21.61972,04280078+2137117,67.003253,21.619923,0.07,0.07,90,5.163,5.103,5.055,0.017,0.017,0.018,EAA,111,0,2450752.9272,1.695085,133940670028235004,67.00277575,21.62049985,0.015,0.015,90,276901888,33,55839.90803241,0,3,,,,,0,,,,,0,,,,,0,13.0354,0.0011,9.9809,0.001,16777232,12.1057,0.0307,11.1832,0.001,16777240,2.619856,67.0032638868763,21.6199034769511,0.004,0.002,90,145391484855481344,67.0037113468,0.0899,21.61972151814,0.0479,19.9767,0.1165,96.615,0.249,-42.262,0.145,false,1.04247E+08,68634.2,5.643206,6.62396E+07,60638.5,5.798594,5.40079E+07,101958,5.430776,0.367818,,,0,7435,0.7593,0.3975,1.93,10.276,0.079166
Hyades,66.35475,22.1998,04252499+2212000,66.354156,22.200003,0.11,0.11,90,5.086,4.921,4.607,0.25,0.23,0.016,DDA,331,0,2450752.8979,2.110451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.3542366991092,22.2000016232817,0.011,0.007,90,145484629809228544,66.35475274052,0.2178,22.19979794375,0.1039,22.1429,0.2593,110.97,0.741,-47.306,0.453,true,1.57599E+08,308687,5.194479,1.0042E+08,66187.5,5.346833,8.0601E+07,327652,4.996069,0.350765,,,0,7475.75,,,2.12,12.669,0.269027
Hyades,66.57756,21.47027,04261848+2128136,66.577008,21.47047,0.07,0.06,0,6.342,6.15,6.073,0.019,0.026,0.021,AAA,111,0,2450752.908,1.98452,133760665773784715,66.57710691,21.47041953,0,0,90,268959744,32,51981.26972222,0,3,8.3608,0.0432,11.5587,0.083,88,,,,,64,,,,,64,,,,,64,5.7103,0.001,9.5939,0.001,80,0.37791,66.5770776109862,21.4704327047764,0.002,0.002,90,145293181643038336,66.5775552817,0.0692,21.4702673398,0.0407,20.67,0.0659,103.244,0.142,-38.408,0.112,false,2.43168E+07,4286.42,7.223598,1.36195E+07,11075.6,7.515986,1.4984E+07,21193.1,6.82285,0.693137,35.7,2.41,23,6166,0.139,0.063,1.3,2.212,0.269097
Hyades,66.58044,21.46875,04261916+2128082,66.579868,21.468954,0.09,0.08,0,11.795,11.131,10.934,0.03,,0.023,AUA,202,0,2450752.908,2.05223,133760665802793228,66.58041553,21.46875799,0.121,0.034,90,579133440,69,55935.86324074,5,21,16.6711,0.0186,13.9203,0.0164,16810296,15.5096,0.0735,12.5282,0.1702,16843064,14.3929,0.0181,13.4434,0.0624,16810296,13.5874,0.0015,11.609,0.001,115000,13.1093,0.0014,12.1101,0.0454,16892216,1.965387,66.5799490299517,21.4689225732415,0.003,0.002,90,145293181643038208,66.58043838372,0.0749,21.46874914973,0.0461,20.9216,0.0736,105.77,0.174,-40.279,0.137,false,17395.4,19.7783,15.087281,2486,17.2029,16.862635,24497.3,44.3794,13.789124,3.073511,,,0,4344.07,0.308,0.183,,,0.2941
Hyades,66.81982,17.24172,04271663+1714305,66.819316,17.241827,0.06,0.06,90,9.714,9.067,8.826,0.019,0.028,0.024,AAA,222,0,2451453.9043,1.775162,128690668192250661,66.81927371,17.24180687,0.017,0.017,90,612524032,73,55080.9999537,1,7,17.4228,0.0085,,,16793656,12.51,,,,36,11.791,,,,36,11.288,,,,114724,11.062,,,,36,0.162461,66.8193312361648,17.2418513110052,0.001,0.001,90,3313778207594395392,66.81981669425,0.0425,17.24171572183,0.0209,21.7437,0.0463,107.685,0.083,-31.492,0.058,false,261703,99.9319,12.143844,66102.4,113.164,13.300845,294063,327.506,11.090819,2.210026,40.37,0.4,14,4046.59,0.352,0.191,,,0.102
Hyades,66.57982,17.05048,04261903+1703021,66.579318,17.050594,0.07,0.06,90,12.87,12.278,11.907,0.025,0.027,0.025,AAA,222,0,2451135.7517,1.77584,128460665796331149,66.57973525,17.05049922,0.004,0.003,0,436527104,52,56205.20704861,5,70,18.9248,0.0113,19.0099,0.0151,115000,17.5921,0.0053,17.6721,0.0046,115000,15.6289,0.0032,15.691,0.0029,115000,14.7002,0.0031,14.7699,0.0037,115000,14.2594,0.0054,14.2703,0.0045,115000,1.476056,66.5793590870621,17.0506003655658,0.004,0.002,90,3313751441358252160,66.57981519606,0.122,17.05047864838,0.0505,21.3785,0.1349,101.279,0.233,-28.27,0.154,false,5364.56,4.35485,16.36453,520.033,6.07289,18.561312,8210.15,18.4392,14.976042,3.58527,,,0,3444.75,0.143,0.097,,,0.143257
