col1,col2,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,AbsKmag,Kmag,r-K,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,angDist,objID,RAJ2000_x,DEJ2000_x,errHalfMaj_x,errHalfMin_x,errPosAng_x,f_objID,Qual,Epoch,Ns,Nd,AbsGmag,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist_x,ra_epoch2000,dec_epoch2000,errHalfMaj_xa,errHalfMin_xa,errPosAng_xa,source_id,ra,ra_error,dec,dec_error,parallax_percent,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist_xa
133.0474,11.67557,08521139+1140320,133.047469,11.675574,0.06,0.06,90,13.047,12.729,7.98283108919496,12.709,1.3526,0.023,0.029,0.026,AAA,222,0,2451590.6905,0.243686,122011330475291163,133.04743718,11.6755682,0.006,0.002,90,503635968,60,56074.77109954,5,75,9.6975,14.4237,8E-04,14.4767,0.0026,115000,14.0616,0.0024,14.1054,0.0017,115000,13.945,0.0057,14.0566,0.0241,115000,13.94,0.0022,13.99,0.0043,115000,13.9053,0.0047,13.9454,0.0022,115000,0.114108,133.04748422244,11.6755805093901,0.001,0,90,604900449485821568,133.04743448239,0.0228,11.67556751903,0.0142,0.0244,1.1344,0.0277,-11.313,0.049,-3.017,0.031,true,43717.1,8.14232,5369.12084025192,14.086739,23791.2,41.3771,574.984713766794,14.410345,29000.1,26.5672,1091.57532596585,13.605922,0.804423,,,0,5816.5,0.087,0.044,1.14,1.338,0.05856
132.9403,11.89847,08514567+1153544,132.940314,11.898466,0.07,0.06,90,14.449,13.833,8.74411911015792,13.639,2.7561,0.029,0.032,0.034,AAA,222,0,2450768.9551,0.051376,122271329403098651,132.94027147,11.89847131,0.007,0.006,90,503635968,60,55948.46451389,5,62,12.6004,17.4953,0.0031,17.5515,0.0123,115000,16.3951,0.0033,16.4235,0.0036,115000,15.8999,0.0041,15.9462,0.0199,115000,15.6853,0.0035,15.7259,0.0097,115000,15.5324,0.0033,15.5451,0.008,115000,0.151033,132.9403217760067,11.8984768770704,0.002,0.001,90,604919927161960448,132.9402729753,0.0588,11.89846537887,0.037,0.0733,1.0496,0.0769,-11.091,0.123,-2.671,0.078,true,5174.98,3.31329,1561.88561822237,16.403593,1848.22,7.73819,238.843967387722,17.184504,4946.34,8.00391,617.990457164061,15.526209,1.658295,,,0,4196,,,0.99,0.275,0.047787
132.9281,11.91103,08514275+1154397,132.928139,11.911035,0.09,0.08,90,15.056,14.344,9.31357503815727,14.271,2.6151,0.04,0.039,0.051,AAA,222,0,2450767.9968,0.138551,122291329281483733,132.92811493,11.91103521,0.006,0.002,90,503635968,60,55840.10689815,5,75,12.9791,17.9365,0.0067,18.0302,0.0115,115000,16.8861,0.003,16.9511,0.003,115000,16.4442,0.0018,16.5035,0.0047,115000,16.2568,0.0032,16.3285,0.0056,115000,16.1169,0.0047,16.2022,0.015,115000,0.08479,132.9281622067605,11.9110464091086,0.003,0.002,90,604922886394970240,132.92811205361,0.0832,11.91103374503,0.0553,0.0986,1.0198,0.1006,-11.398,0.172,-2.941,0.119,false,3212.02,2.3372,1374.30258428889,16.921421,1210.88,8.35213,144.97858630074,17.643633,2977.37,9.71536,306.460079708832,16.077337,1.566296,,,0,4368.33,0.6658,0.3187,0.71,0.166,0.091484
132.6899,11.92657,08504559+1155357,132.689997,11.926585,0.07,0.06,90,14.152,13.674,8.901,13.594,1.9213,0.025,0.027,0.037,AAA,222,0,2450768.9454,0.345903,122311326899882399,132.6899453,11.92657079,0.007,0.005,0,503635968,60,55902.05386574,5,73,11.472562395436,16.1653,0.0038,16.2197,0.0044,115000,15.5153,0.003,15.5778,0.0021,115000,15.2897,0.0035,15.3402,0.0039,115000,15.2035,0.0023,15.2595,0.0016,115000,15.1442,0.0021,15.1774,0.0072,115000,0.189151,132.6899915879118,11.9265828052895,0.001,0.001,90,604969267746269696,132.68994265954,0.0373,11.92656936869,0.0269,0.0400173611111111,1.152,0.0461,-11.119,0.081,-3.121,0.065,false,11087.5,4.54208,2441.0622446104,15.576284,5146.89,13.2746,387.72467720308,16.072525,8554.5,17.4342,490.67350380287,14.931433,1.141092,,,0,4973,0.206,0.1,0.82,0.367,0.020635
132.8928,11.82884,08513427+1149438,132.892817,11.828841,0.07,0.07,90,11.804,11.569,6.88398483260881,11.522,1.273,0.022,0.022,0.02,AAA,222,0,2450768.9546,0.060008,122191328928745091,132.89278393,11.82883935,0.008,0.007,90,906289152,108,55784.12189815,5,74,8.44298483260881,13.081,,,,114724,12.795,,,,114724,12.699,,,,16420,12.668,,,,114724,12.6596,0.0011,12.664,0.005,115000,0.116675,132.8928308030166,11.8288518730675,0.001,0.001,90,604917865577461888,132.89278249803,0.0313,11.82883869668,0.0204,0.0323,1.1814,0.0382,-10.981,0.065,-3.06,0.042,true,152571,25.1056,6077.17003377732,12.729687,86647,78.0623,1109.97241946497,13.007005,96916,49.6666,1951.33147829729,12.295932,0.711073,,,0,6358.67,1.34,0.677,1.7,4.233,0.062431
133.6499,12.08926,08543600+1205213,133.650005,12.089255,0.09,0.09,45,15.684,14.935,10.4853490075478,15.036,3.0135,0.061,0.073,0.112,AAB,222,0,2450768.0322,0.370055,122501336499317620,133.64987866,12.08925441,0.005,0.004,90,503635968,60,55969.3394213,5,55,14.7844,19.3351,0.0152,19.4597,0.0216,115000,18.0495,0.004,18.1212,0.008,115000,17.3434,0.0027,17.3941,0.0083,115000,16.9947,0.0048,17.0643,0.006,115000,16.8159,0.0041,16.8693,0.0153,115000,0.444742,133.649920945044,12.0892721469969,0.005,0.004,90,605031046555116800,133.64987421279,0.1505,12.08925682899,0.0949,0.165867143670217,1.2299,0.204,-10.613,0.317,-3.558,0.228,false,1251.66,1.25262,999.233606361067,17.944649,380.21,6.67963,56.9208174704287,18.901329,1329.9,7.22303,184.119406952484,16.952372,1.948957,,,0,,,,,,0.302258
133.1801,11.88725,08524323+1153141,133.180138,11.88727,0.16,0.06,90,15.217,14.463,9.692,14.273,2.7227,0.045,0.054,0.053,AAA,222,0,2451586.8492,0.152001,122261331800865223,133.18009645,11.88725565,0.006,0.005,90,503635968,60,55806.93247685,5,63,13.522,18.103,0.0038,18.1656,0.0086,115000,16.9957,0.0016,17.039,0.0045,115000,16.5312,0.0045,16.5826,0.0056,115000,16.3181,0.0034,16.3728,0.0028,115000,16.1886,0.0077,16.2432,0.0064,115000,0.155221,133.180141016103,11.8872691478576,0.003,0.002,90,604930235082768768,133.18009302481,0.0945,11.8872545601,0.056,0.111459192085738,1.213,0.1352,-10.907,0.196,-3.388,0.116,false,2925.86,2.17152,1347.37879457707,17.022732,1060.4,10.9428,96.9039002814636,17.787714,2759.7,13.8644,199.04936383832,16.159763,1.627951,,,0,4359,0.1678,0.1,0.57,0.107,0.011059
132.83,12.19449,08511921+1211401,132.830064,12.194485,0.2,0.19,122,16.762,15.885,8.688,15.656,3.9018,0.149,0.135,0.169,BBC,222,0,2450767.9966,0.22592,122631328300423875,132.82999735,12.19448509,0.011,0.004,90,503635968,60,55950.76386574,5,74,13.748106825553,20.7162,0.0331,20.6954,0.0724,115000,19.5578,0.0102,19.668,0.0129,115000,18.4445,0.0077,18.5703,0.0151,115000,17.9225,0.0089,18.0792,0.0112,115000,17.6598,0.0179,17.7355,0.0213,115000,0.234526,132.8300500318526,12.1944988494413,0.009,0.006,90,605000711202166400,132.82999717288,0.2984,12.19448588475,0.1985,0.942821782178218,0.404,0.3809,-12,0.61,-3.011,0.404,false,405.832,1.01465,399.972404277337,19.1675,93.8925,7.02344,13.3684490790838,20.419811,517.717,9.07836,57.0275908864597,17.976688,2.443123,,,0,,,,,,0.070012
132.8082,11.9595,08511398+1157342,132.808268,11.959512,0.07,0.06,90,13.853,13.434,8.5333316982175,13.346,1.6428,0.024,0.028,0.034,AAA,222,0,2450768.9547,0.243352,122351328082531892,132.80821276,11.9594967,0.008,0.002,0,503635968,60,55846.47278935,5,73,10.6717,15.4844,0.0023,15.5418,0.0036,115000,14.9888,0.0027,15.0361,0.002,115000,14.8145,0.0024,14.8624,0.0026,115000,14.775,0.0038,14.8257,0.002,115000,14.7185,0.0055,14.7689,0.0075,115000,0.202194,132.80825724589,11.9595082899864,0.001,0.001,90,604971093107922432,132.80821017616,0.0297,11.95949544185,0.0195,0.0316,1.0901,0.0345,-10.695,0.061,-2.984,0.044,false,18313,5.7683,3174.76552883865,15.031465,9244.36,28.1561,328.325300734122,15.436696,13132.5,20.4255,642.94631710362,14.466054,0.970642,,,0,5369,0.101,0.049,0.92,0.632,0.04016
132.8552,11.80376,08512526+1148135,132.855287,11.803751,0.07,0.07,90,12.839,12.518,7.79840873637151,12.38,1.5866,0.022,0.02,0.02,AAA,222,0,2450768.9545,0.308284,122161328553154993,132.85524513,11.8037629,0.005,0.002,0,503635968,60,55961.3508912,5,70,9.837,14.4186,0.002,14.47,0.0038,115000,13.9666,0.0024,14.016,0.0022,115000,13.8071,0.003,13.849,0.0015,115000,13.7883,0.0021,13.8391,9E-04,115000,13.7454,0.0044,13.763,0.0059,115000,0.153638,132.8552919994855,11.8037738413277,0.001,0.001,90,604917629355037568,132.85524305704,0.0247,11.80376228259,0.0169,0.027,1.2125,0.0327,-11.127,0.059,-2.685,0.051,false,47388.6,14.3234,3308.47424494184,13.999181,24643.7,44.5622,553.018028732872,14.372124,33063.6,34.7284,952.062289077527,13.463546,0.908578,,,0,5427,0.555,0.257,1.3,1.312,0.084095
