col1,col2,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,AbsKmag,Kmag,r-K,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,angDist,objID,RAJ2000_x,DEJ2000_x,errHalfMaj_x,errHalfMin_x,errPosAng_x,f_objID,Qual,Epoch,Ns,Nd,AbsGmag,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist_x,ra_epoch2000,dec_epoch2000,errHalfMaj_xa,errHalfMin_xa,errPosAng_xa,source_id,ra,ra_error,dec,dec_error,parallax_percent,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist_xa,_RAJ2000,_DEJ2000,2MASS,RAJ2000,DEJ2000,Vmag,SourceV,Kmag,e_Kmag,SourceK,V-K,Mass,Bin,Prot1,Power,Amp,Epoch,Prot2,2M,SimbadName,angDist
54.45395,26.86242,03374891+2651455,54.453815,26.862658,0.08,0.06,90,13.408,12.868,12.0469538061438,12.592,4.7193,0.024,0.027,0.026,AAA,222,0,2450775.7733,0.960249,140230544539085543,54.45394648,26.86243415,0.012,0.002,90,503635968,60,56112.3040625,5,64,18.0701,18.6151,0.0136,18.7193,0.0211,115000,17.3113,0.0077,17.3889,0.0071,115000,15.7913,0.0047,15.8411,0.0042,115000,15.0612,8.0E-4,15.1194,0.0042,115000,14.7185,0.004,14.7513,0.0032,115000,0.909784,54.4538484099683,26.8626267081282,0.004,0.002,90,71036358190950528,54.45395101592,0.1224,26.8624213328,0.0697,0.0157,7.7802,0.1218,21.26,0.283,-47.7,0.154,false,4517.09,8.52137,530.089645209632,16.551218,627.076,11.9297,52.5642723622555,18.358088,6250.26,35.554,175.796253586094,15.272175,3.085913,,,0,3443.0,0.9315,0.496,,,0.155573,54.45384442,26.86271968,03374891+2651455,54.45384442,26.86271968,,---,12.59,0.03,Stauffer,,0.3,,0.62,46.5,0.06,305,,2M,2MASS J03374891+2651455,0.241314
55.82948,26.07875,03431905+2604441,55.829377,26.078924,0.06,0.06,90,13.224,12.615,11.6306560197263,12.31,4.7191,0.026,0.028,0.023,AAA,222,0,2451507.8912,0.709435,139290558294555091,55.82947938,26.07876502,0.004,0.003,90,503635968,60,56198.03321759,5,68,17.6835,18.3628,0.0051,18.4645,0.0094,115000,17.0291,0.0154,17.0766,0.0062,115000,15.5562,0.0058,15.6035,0.0047,115000,14.8504,0.0025,14.9,0.0023,115000,14.5078,0.0031,14.5389,0.0066,115000,0.661173,55.8293885303738,26.0789506348669,0.004,0.002,90,70153484713977472,55.82948402918,0.1081,26.07875344323,0.0593,0.0173649092102385,7.3136,0.127,19.922,0.246,-45.799,0.128,false,5781.02,10.6953,540.519667517508,16.283354,912.425,13.4535,67.8206414687628,17.950895,7803.93,36.6732,212.796538071398,15.031137,2.919759,,,0,3740.81,0.7317,0.4475,,,0.102879,55.82956767,26.0790147,03431905+2604441,55.82956767,26.0790147,18.0,Stauffer,12.31,0.02,Stauffer,0.13,0.35,0,0.5,81.28,0.11,305,,2M,2MASS J03431905+2604441,0.697654
55.97455,25.47489,03435386+2528301,55.974448,25.475054,0.07,0.06,90,12.346,11.718,10.7919569356351,11.467,4.0284,0.021,0.031,0.024,AAA,222,0,2451812.0067,0.677099,138570559745220448,55.97454526,25.47489911,0.005,0.003,90,503635968,60,56094.4733912,5,82,16.0793,16.7543,0.0067,16.8376,0.0055,115000,15.4954,0.0032,15.5497,0.0014,115000,14.3629,0.0022,14.4113,9.0E-4,115000,13.8326,0.0037,13.8689,0.001,115000,13.5623,0.0015,13.5759,0.0021,115000,0.640966,55.974458844376,25.4750828558371,0.001,0.001,90,69906472554465792,55.97455055654,0.0445,25.47488529442,0.0289,0.00682305099548314,7.3281,0.05,19.23,0.096,-45.885,0.065,false,18135.6,16.6368,1090.08944027698,15.042038,3957.47,18.8548,209.891910813162,16.357845,21989.1,58.7394,374.350095506594,13.906401,2.451445,,,0,3524.75,0.6095,0.351,,,0.109697,55.97454226,25.47495274,03435386+2528301,55.97454226,25.47495274,16.15,Stauffer,11.47,0.02,Stauffer,0.0,0.49,0,0.35,49.19,0.02,305,0.35,2M,2MASS J03435386+2528301,0.476165
55.5143,25.37741,03420341+2522393,55.514214,25.377609,0.06,0.06,0,13.346,12.729,11.761,12.444,5.1152,0.024,0.03,0.028,AAA,222,0,2451486.826,0.769074,138450555142413541,55.51430209,25.37742401,0.006,0.002,90,503635968,60,56034.76403935,5,49,18.1683117422039,18.8514,0.0121,18.9541,0.01,115000,17.5592,0.0044,17.6307,0.0109,115000,15.8571,0.0036,15.9254,0.0031,115000,15.0633,0.0027,15.116,0.0029,115000,14.683,0.0054,14.7193,0.0059,115000,0.724985,55.5142089874235,25.377601480277,0.004,0.002,90,70088819686490496,55.51430464862,0.1097,25.37741275283,0.0724,0.0184358307081222,7.301,0.1346,20.074,0.227,-43.833,0.153,false,4295.26,7.93068,541.600468055703,16.60589,573.042,8.13859,70.4104765076014,18.455921,6144.39,36.7011,167.417052894872,15.290723,3.165198,,,0,3909.07,1.2985,0.741,,,0.031602,55.51427049,25.37745032,03420341+2522393,55.51427049,25.37745032,18.1,Stauffer,12.44,0.03,Stauffer,0.05,0.32,0,0.3,65.95,0.08,305,,2M,2MASS J03420341+2522393,0.600071
55.89233,25.5904,03433413+2535261,55.89223,25.590605,0.06,0.06,90,12.838,12.225,11.4161368575273,11.998,4.4883,0.022,0.03,0.023,AAA,222,0,2451507.8916,0.806266,138700558922939046,55.89232208,25.5904148,0.005,0.001,90,503635968,60,56075.01905093,10,77,17.1407,17.7226,0.0063,17.7956,0.0081,115000,16.4863,0.0049,16.555,0.0051,115000,15.0646,0.0026,15.1285,0.0045,115000,14.4453,0.0083,14.4695,0.008,115000,14.0994,0.0028,14.1286,0.002,115000,0.747144,55.8922301775421,25.5905989927383,0.003,0.002,90,69911282917833216,55.8923299204,0.0886,25.59040090456,0.0626,0.0132,7.6494,0.1007,20.894,0.177,-46.008,0.132,false,8934.5,11.5902,770.866766751221,15.81069,1499.68,13.0615,114.816828082533,17.411392,11752.2,46.9267,250.437384260986,14.586621,2.824771,,,0,3756.43,0.844,0.452,,,0.021634,55.89232064,25.5904746,03433413+2535261,55.89232064,25.5904746,16.99,Stauffer,12.0,0.02,Stauffer,-0.12,0.4,0,1.44,81.14,0.09,305,,2M,2MASS J03433413+2535261,0.554061
56.93293,26.22402,03474386+2613271,56.932789,26.224201,0.08,0.08,90,13.718,13.104,12.0520944047522,12.824,4.8826,0.025,0.032,0.03,AAA,222,0,2451138.7103,0.79494,139460569328739393,56.93291065,26.22405826,0.004,0.003,90,503636096,60,56061.48059028,5,71,18.2288,19.0007,0.019,19.0882,0.0296,115000,17.7066,0.0042,17.7978,0.0081,115000,16.1043,0.0112,16.1374,0.0119,115000,15.3476,0.0031,15.4021,0.0039,115000,15.0089,0.0029,15.0419,0.0067,115000,0.646837,56.9328334158331,26.2242115891226,0.003,0.003,90,70060610341280128,56.93292996383,0.1463,26.22401792604,0.0774,0.0237,7.0084,0.1661,20.116,0.221,-44.98,0.167,false,3434.95,5.84239,587.935759167053,16.848564,475.374,13.0736,36.3613694774201,18.6588,4829.83,38.5409,125.317000900342,15.552091,3.10671,,,0,3717.06,0.791,0.494,,,0.148418,56.93285137,26.2240955,03474386+2613271,56.93285137,26.2240955,,---,12.82,0.03,Stauffer,,0.26,,0.34,54.53,0.09,302,,2M,2MASS J03474386+2613271,0.429905
55.90287,25.78336,03433666+2547007,55.902777,25.783554,0.06,0.06,90,12.885,12.282,11.5732266373683,12.049,4.4708,0.022,0.029,0.023,AAA,222,0,2451507.8914,0.760688,138940559028500605,55.90285756,25.78337084,0.007,0.003,90,503635968,60,56167.9021875,5,66,17.2951,17.7709,0.0075,17.8436,0.0116,115000,16.5198,0.0029,16.5781,0.0054,115000,15.0938,0.0014,15.1512,0.0024,115000,14.4429,0.0015,14.4968,0.003,115000,14.1591,0.0026,14.15,0.0044,115000,0.709206,55.9027632851516,25.7835624940209,0.003,0.002,90,70129050643128832,55.90286626852,0.1025,25.7833579548,0.0584,0.0157,8.0324,0.1264,21.537,0.177,-47.506,0.12,false,8847.2,11.5931,763.143594034383,15.821351,1562.24,21.9498,71.1733136520606,17.367022,11634.6,45.6058,255.112288349289,14.597537,2.769485,,,0,4065.55,0.5835,0.3443,,,0.053959,55.90287551,25.78340745,03433666+2547007,55.90287551,25.78340745,16.83,Stauffer,12.05,0.02,Stauffer,-0.23,0.39,0,0.35,96.61,0.08,305,,2M,2MASS J03433666+2547007,0.616695
55.85925,26.04172,03432619+2602308,55.859151,26.041912,0.06,0.06,90,12.773,12.131,11.2778356871856,11.89,4.457,0.025,0.031,0.024,AAA,222,0,2451507.8912,0.761771,139250558592240658,55.8592481,26.04173825,0.007,0.005,90,503636096,60,56071.66481481,5,74,17.0047,17.6169,0.0062,17.6916,0.0096,115000,16.347,0.0029,16.4054,0.0029,115000,14.9879,0.0026,15.0375,0.003,115000,14.3602,0.0034,14.4105,0.0024,115000,14.0566,0.0025,14.0803,0.0046,115000,0.699922,55.8591535599538,26.0419253161495,0.002,0.001,90,70150357977789056,55.85925398262,0.0711,26.04172458682,0.0368,0.0101,7.5434,0.0759,20.956,0.154,-46.621,0.08,false,9820.95,18.7288,524.376895476486,15.707982,1805.05,29.3123,61.5799510785575,17.210165,12781.6,56.7281,225.313380846529,14.495455,2.71471,,,0,3966.97,0.519,0.28,,,0.048648,55.85934378,26.04199654,03432619+2602308,55.85934378,26.04199654,16.56,Stauffer,11.89,0.02,Stauffer,-0.18,0.42,0,1.5,88.97,0.05,305,,2M,2MASS J03432619+2602308,0.693856
57.3971,25.99282,03493527+2559350,57.396961,25.993065,0.08,0.07,90,13.538,12.929,12.1103134643222,12.693,4.9404,0.023,0.026,0.026,AAA,222,0,2450770.9084,0.990065,139190573970841975,57.39709364,25.99283152,0.005,0.002,90,503636096,60,56052.1916088,10,78,18.3478,18.9305,0.0152,19.016,0.0133,115000,17.6334,0.0067,17.7057,0.0088,115000,16.0316,0.0057,16.0996,0.0061,115000,15.2523,8.0E-4,15.3014,0.002,115000,14.8856,0.0031,14.9314,0.0038,115000,0.943771,57.3970024503174,25.993020707587,0.004,0.003,90,69996976105980800,57.39710101915,0.1354,25.99281812998,0.056,0.0188,7.6465,0.1437,20.578,0.232,-47.05,0.162,false,3763.04,3.36092,1119.64581126596,16.74952,529.427,9.41445,56.2355740377823,18.541872,5295.71,19.4578,272.163862307147,15.452108,3.089764,,,0,4211.88,0.631,0.369,,,0.208363,57.39686426,25.99298827,03493527+2559350,57.39686426,25.99298827,18.3,Stauffer,12.69,0.03,Stauffer,-0.08,0.28,0,0.27,58.69,0.08,302,,2M,2MASS J03493527+2559350,0.417485
55.72508,26.13768,03425399+2608163,55.724967,26.137877,0.06,0.06,0,13.718,13.153,12.2805398420747,12.825,4.8485,0.027,0.036,0.028,AAA,222,0,2451486.8291,0.797706,139360557250375798,55.72507511,26.13769223,0.007,0.003,90,503636096,60,56145.21296296,10,70,18.3875398420747,18.932,0.0133,19.0339,0.016,115000,17.6735,0.0054,17.7627,0.0063,115000,16.1023,0.0038,16.1784,0.004,115000,15.3516,0.0032,15.3991,0.0027,115000,15.0144,0.0028,15.0696,0.0054,115000,0.751353,55.7249842728937,26.1378815835161,0.004,0.002,90,70201725786644608,55.72508114463,0.1172,26.1376798896,0.0662,0.0193,7.7823,0.1505,20.198,0.256,-46.845,0.135,false,3474.95,4.6965,739.902054721601,16.835995,491.996,8.63492,56.9774821306972,18.621483,4856.48,18.667,260.163925644185,15.546117,3.075366,,,0,3947.04,0.6035,0.3555,,,0.058211,55.72517121,26.13793696,03425399+2608163,55.72517121,26.13793696,18.7,Stauffer,12.82,0.03,Stauffer,0.02,0.26,0,0.56,60.39,0.07,305,,2M,2MASS J03425399+2608163,0.694379
52.95779,22.84,03314984+2250248,52.957683,22.840233,0.07,0.06,90,13.583,13.006,12.3064127095999,12.749,4.7326,0.023,0.026,0.024,AAA,222,0,2450748.8713,0.910828,135400529577448659,52.9577919,22.84000659,0.007,0.007,0,503635968,60,56299.28003472,5,69,18.3078,18.7504,0.0115,18.7399,0.0159,115000,17.4816,0.0096,17.4788,0.01,115000,15.906,0.0069,15.9422,0.0023,115000,15.1796,0.0021,15.2211,0.0032,115000,14.8513,0.0029,14.8618,0.0058,115000,0.891564,52.9576785427102,22.8402122618739,0.005,0.003,90,67656665605333888,52.95779022006,0.1304,22.83999770452,0.0919,0.0173,8.1561,0.1407,23.904,0.297,-49.833,0.186,false,4064.32,8.34741,486.895935385946,16.665895,667.112,13.6729,48.7908197968244,18.290892,5644.61,28.5075,198.004384811015,15.382834,2.908057,,,0,4448.05,0.225,0.131,,,0.076108,52.95773498,22.84000116,03314984+2250248,52.95773498,22.84000116,,---,12.75,0.02,2MASS,,0.27,,0.57,53.95,0.08,336,,2M,2MASS J03314984+2250248,0.852255
56.48745,23.02459,03455695+2301292,56.487315,23.02478,0.07,0.06,90,13.437,12.852,11.9177217903733,12.579,4.7709,0.023,0.024,0.023,AAA,222,0,2451127.8682,0.817263,135630564873950145,56.48744164,23.02460018,0.006,0.002,90,503636096,60,56129.63988426,5,67,17.9769,18.6382,0.0116,18.7377,0.0153,115000,17.3499,0.0067,17.4408,0.0067,115000,15.7902,0.0026,15.8589,0.0016,115000,15.0646,0.0039,15.128,0.0024,115000,14.7249,0.0028,14.7628,0.0034,115000,0.771438,56.4873521270946,23.0247878940562,0.003,0.002,90,64857721317916032,56.48744900804,0.1077,23.02458798964,0.0694,0.0169,7.3747,0.1243,20.709,0.223,-46.429,0.15,false,4587.3,4.77746,960.196422366697,16.534473,682.332,7.50545,90.911537615999,18.2664,6351.56,27.1619,233.840784333938,15.254718,3.011682,,,0,4283.49,0.8045,0.4672,,,0.12625,56.48739829,23.02466598,03455695+2301292,56.48739829,23.02466598,17.9,Stauffer,12.58,0.02,Stauffer,-0.2,0.3,0,0.57,36.09,0.07,292,,2M,2MASS J03455695+2301292,0.494611
