col1,col2,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,AbsKmag,Kmag,r-K,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,angDist,objID,RAJ2000_x,DEJ2000_x,errHalfMaj_x,errHalfMin_x,errPosAng_x,f_objID,Qual,Epoch,Ns,Nd,AbsGmag,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist_x,ra_epoch2000,dec_epoch2000,errHalfMaj_xa,errHalfMin_xa,errPosAng_xa,source_id,ra,ra_error,dec,dec_error,parallax_percent,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist_xa
59.49378,20.4053,03575848+2024200,59.493698,20.405556,0.09,0.06,90,13.758,13.197,12.2651795974294,12.955,4.9263,0.024,0.026,0.027,AAA,222,0,2450750.8249,0.962235,132480594937736913,59.49377477,20.40531707,0.002,0.001,90,503635968,60,56159.91917824,10,75,18.4871,19.1769,0.0126,19.3212,0.0156,115000,17.8813,0.0058,17.9652,0.0062,115000,16.2148,0.0029,16.2841,0.0068,115000,15.4444,0.0027,15.5051,0.0019,115000,15.074,0.0034,15.1029,0.0041,115000,0.898304,59.4936965368664,20.4055058655099,0.004,0.002,90,51391658816356608,59.49378035725,0.1155,20.40530387932,0.0594,0.0169,7.2784,0.1232,18.246,0.281,-46.913,0.149,false,3096.99,4.11173,753.208503476639,16.961014,427.451,5.89211,72.5463373901709,18.774172,4396.3,15.0362,292.38105372368,15.654202,3.11997,,,0,3999.25,0.749,0.439,,,0.180552
59.53209,20.39381,03580768+2023385,59.532004,20.39403,0.09,0.06,90,13.79,13.148,12.2189038763426,12.927,4.7641,0.034,0.041,0.034,AAA,222,0,2450750.8249,0.843491,132470595320863119,59.53208406,20.3938202,0.002,0.002,90,503635968,60,56228.67021991,10,79,18.2491,18.9572,0.017,19.0272,0.0122,115000,17.6911,0.0047,17.7648,0.0065,115000,16.1202,0.0024,16.1842,0.0059,115000,15.3921,0.0018,15.4535,0.0026,115000,15.0398,0.0042,15.0845,0.0044,115000,0.80214,59.5320041130761,20.3939998232435,0.004,0.002,90,51391418298186368,59.53208837394,0.1216,20.39380774989,0.0618,0.0184,7.2174,0.1325,18.344,0.284,-44.611,0.146,false,3371.69,3.16152,1066.47751714365,16.868746,504.398,7.92323,63.6606535465965,18.594454,4675.05,13.0396,358.527102058345,15.587454,3.007,,,0,4283.49,0.516,0.3237,,,0.108637
57.04312,19.30231,03481031+1918092,57.04297,19.302561,0.09,0.06,90,10.943,10.348,9.63419986833932,10.217,2.699,0.024,0.028,0.02,AAA,222,0,2450749.824,1.037415,131160570430203396,57.04309924,19.30231303,0.16,0.042,90,503635968,60,56282.98001157,4,60,13.0981998683393,13.681,0.0227,13.7467,0.0038,115000,12.916,,,,114724,12.491,,,,16420,12.229,,,,114724,11.9926,0.001,12.0288,0.001,16892216,0.994845,57.0430201105705,19.3025093584147,0.001,0.001,90,50976077779666688,57.04311617504,0.038,19.30230859505,0.0222,0.0052,7.6461,0.0396,21.058,0.087,-46.629,0.052,true,152648,146.246,1043.77555625453,12.729138,58300.1,240.946,241.963344483826,13.437214,135724,367.573,369.24366044296,11.930278,1.506936,7.79,1.81,11,4511.75,0.19,0.1297,0.59,0.132,0.252091
58.65845,19.90617,03543800+1954229,58.658354,19.906376,0.07,0.06,0,13.203,12.611,11.8041186426598,12.32,4.9241,0.024,0.026,0.021,AAA,222,0,2450749.9192,0.809669,131880586584327953,58.65844344,19.90618837,0.007,0.001,90,503636096,60,56171.68114583,5,79,17.9423,18.4582,0.0095,18.5606,0.0112,115000,17.2441,0.0057,17.3124,0.0061,115000,15.6652,0.0037,15.7148,0.0022,115000,14.9196,0.0035,14.9641,0.003,115000,14.5505,0.0026,14.573,0.0062,115000,0.740211,58.6583580207186,19.9063829005596,0.003,0.002,90,51303388648134400,58.65844968196,0.0982,19.90617499259,0.0554,0.0130621147944302,7.8854,0.103,20.017,0.213,-48.288,0.144,false,5209.9,6.32157,824.146533218805,16.396292,772.007,9.55506,80.7956203310079,18.132336,7279.61,22.3403,325.851040496323,15.106649,3.025686,,,0,4189.38,0.8635,0.4872,,,0.028326
59.28591,20.12842,03570858+2007431,59.285778,20.12866,0.06,0.06,90,14.609,13.973,12.991,13.716,5.2997,0.028,0.043,0.048,AAA,222,0,2450750.8151,0.972404,132150592858624735,59.28588976,20.12845975,0.004,0.002,90,503635968,60,56113.35821759,5,59,19.5819715833794,20.3068,0.0266,20.4135,0.039,115000,19.0157,0.0047,19.1204,0.0119,115000,17.1974,0.0037,17.2608,0.0041,115000,16.3485,0.0025,16.4066,0.0062,115000,15.9318,0.0058,15.9986,0.0063,115000,0.81388,59.2858243478853,20.1286168836836,0.006,0.004,90,51284971828429440,59.28590962042,0.1659,20.12842323087,0.0872,0.0251326445127059,7.162,0.18,18.596,0.384,-44.977,0.236,false,1245.34,1.80336,690.56649809245,17.950144,167.488,9.65693,17.3438142349587,19.79143,1859.61,10.2393,181.614954147256,16.588367,3.203062,,,0,,,,,,0.220535
54.95066,27.18936,03394813+2711223,54.950556,27.189531,0.07,0.06,90,12.877,12.273,11.3326674283871,12.019,4.3504,0.026,0.03,0.022,AAA,222,0,2451879.8809,0.699908,140620549505997864,54.95063882,27.1894022,0.004,0.003,90,503635968,60,56115.66142361,20,54,17.0106,17.6969,0.0074,17.7952,0.0293,115000,16.3694,0.0038,16.4125,0.0058,115000,15.0447,0.0035,15.0979,0.0023,115000,14.4534,0.0033,14.4944,0.002,115000,14.1611,0.0033,14.1756,0.0049,115000,0.534166,54.9505628410598,27.1895551389558,0.003,0.002,90,71161771235981312,54.95065819103,0.0901,27.18936479547,0.0526,0.0138,7.2901,0.1009,19.699,0.168,-44.209,0.12,false,8912.24,19.3163,461.384426624146,15.813398,1606.19,22.0396,72.8774569411423,17.336895,11508.3,51.7931,222.197551411288,14.609391,2.727504,,,0,4041.85,0.5747,0.284,,,0.089619
54.29997,26.77453,03371196+2646290,54.299864,26.774736,0.06,0.06,90,13.123,12.543,11.5691397871313,12.281,4.9751,0.024,0.023,0.021,AAA,222,0,2450775.7635,0.816112,140130542999380048,54.29995768,26.77454262,0.005,0.005,0,503635968,60,56029.05763889,5,66,17.8293,18.5412,0.0131,18.6489,0.0159,115000,17.2561,0.0038,17.3277,0.0036,115000,15.6078,0.0048,15.6742,0.0094,115000,14.8452,0.0017,14.8952,0.0032,115000,14.4695,0.0031,14.4952,0.0123,115000,0.758489,54.2998633053829,26.7747180737249,0.003,0.002,90,71216093982249984,54.29996605309,0.1109,26.77452971824,0.0794,0.0181,7.2049,0.1307,21.305,0.22,-43.747,0.156,false,5413.53,5.09433,1062.65789613158,16.354664,732.478,5.8379,125.469432501413,18.189402,7618.55,10.0912,754.969676549865,15.05724,3.132162,,,0,3692.03,1.516,0.8613,,,0.064573
55.45026,26.78899,03414804+2647210,55.450179,26.789177,0.07,0.06,0,12.797,12.134,11.1263971349738,11.901,4.2528,0.024,0.03,0.019,AAA,222,0,2451486.8199,0.721773,140140554502267451,55.45024852,26.78899858,0.011,0.004,90,503635968,60,56118.22403935,10,71,16.6353971349738,17.41,0.006,17.4966,0.0055,115000,16.1538,0.0037,16.2276,0.0034,115000,14.8953,0.002,14.9586,0.0044,115000,14.2927,0.0033,14.3433,0.0025,115000,14.0264,0.0022,14.0648,0.0053,115000,0.680057,55.450161848359,26.7891723639092,0.002,0.002,90,71078483230315520,55.45025736021,0.0783,26.78898631734,0.049,0.0132,6.9997,0.0927,19.802,0.145,-43.211,0.109,false,10735.5,11.1199,965.431343807049,15.611313,2083.92,14.2656,146.080080753701,17.054184,13578.3,44.9327,302.191944841953,14.429808,2.624376,,,0,3834.31,0.7133,0.3887,,,0.05759
54.61606,26.85694,03382782+2651257,54.615957,26.857151,0.07,0.07,90,13.745,13.132,12.1489653299164,12.883,5.0408,0.027,0.033,0.026,AAA,222,0,2451507.8857,0.828507,140220546159909029,54.61605469,26.85695088,0.009,0.003,0,503635968,60,56111.00122685,5,79,18.4634,19.1974,0.0111,19.2872,0.0196,115000,17.9238,0.0049,17.9995,0.0065,115000,16.227,0.0027,16.2949,0.0057,115000,15.4365,0.0018,15.4838,0.0016,115000,15.0555,0.0024,15.1005,0.0054,115000,0.785787,54.6159591069171,26.8571324260545,0.006,0.003,90,71056252479453056,54.61606024831,0.168,26.85693803804,0.0851,0.023,7.1317,0.1643,20.957,0.363,-45.148,0.192,false,3051.84,3.72332,819.655576206182,16.976961,392.962,8.79841,44.6628424908591,18.865513,4345.08,9.08997,478.008178244813,15.666924,3.198588,,,0,3631.78,1.0078,0.5925,,,0.067208
55.47107,27.07848,03415304+2704432,55.47103,27.078693,0.08,0.06,0,13.75,13.192,12.1039526406612,12.874,4.9538,0.029,0.032,0.03,AAA,222,0,2451486.8201,0.777445,140490554710304834,55.47106861,27.07848808,0.006,0.005,90,503635968,60,56118.84141204,5,65,18.3189,19.0889,0.0079,19.1936,0.015,115000,17.8278,0.006,17.9269,0.0094,115000,16.1742,0.0039,16.2486,0.0088,115000,15.3982,0.0033,15.4552,0.0043,115000,15.0315,0.0035,15.0682,0.0049,115000,0.748021,55.4709766066878,27.078673407105,0.004,0.003,90,71103428400426368,55.47107488714,0.1808,27.07847632296,0.0752,0.0284,7.0144,0.1992,20.324,0.238,-45.774,0.176,false,3191.03,6.26373,509.445649796527,16.928537,429.472,10.8838,39.4597475146548,18.769053,4520.93,28.1099,160.830525900128,15.623851,3.145202,,,0,3704.55,0.849,0.5347,,,0.185111
54.81489,26.80091,03391554+2648038,54.814787,26.801069,0.08,0.06,0,14.269,13.715,12.8268739395544,13.388,5.1455,0.028,0.044,0.039,AAA,222,0,2451879.8762,0.661197,140160548148391740,54.81488686,26.80092642,0.005,0.004,90,503635968,60,56092.63170139,20,66,19.2703,19.8314,0.0143,19.9696,0.018,115000,18.5335,0.0076,18.6166,0.009,115000,16.7893,0.0054,16.8663,0.006,115000,15.9816,0.0026,16.0343,0.0033,115000,15.5893,0.0063,15.6522,0.0046,115000,0.605332,54.8147836531144,26.8011216481467,0.006,0.004,90,71042641727187968,54.81489058777,0.176,26.8009139042,0.1068,0.0239,7.7228,0.1843,22.168,0.385,-48.25,0.236,false,1801.57,3.20736,561.698717948718,17.54924,207.086,12.1794,17.0029722318012,19.561012,2629.29,12.1884,215.720685241705,16.212322,3.34869,,,0,,,,,,0.189838
54.61277,27.27049,03382703+2716145,54.612636,27.270704,0.08,0.06,90,12.401,11.77,10.9382679562315,11.534,4.1,0.025,0.031,0.021,AAA,222,0,2451507.886,0.881686,140720546127175214,54.61276323,27.27050495,0.004,0.003,90,503635968,60,56131.62479167,5,69,16.2947,16.8904,0.0078,16.9645,0.0063,115000,15.634,0.0083,15.692,0.0047,115000,14.4481,0.0017,14.503,0.0055,115000,13.8814,0.0028,13.9319,0.0045,115000,13.6085,0.0011,13.6311,0.0025,115000,0.824156,54.6126677643188,27.2706957471262,0.002,0.001,90,71262410909499264,54.61276976591,0.0568,27.27049190032,0.0435,0.0091,7.6007,0.0691,21.058,0.112,-47.345,0.087,false,16439.7,16.4292,1000.63910598203,15.148632,3355.97,17.0674,196.630418224217,16.536842,20307.4,71.6125,283.573398498865,13.992783,2.54406,,,0,3874.88,,,,,0.105895
