col1,col2,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,AbsKmag,Kmag,r-K,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,angDist,objID,RAJ2000_x,DEJ2000_x,errHalfMaj_x,errHalfMin_x,errPosAng_x,f_objID,Qual,Epoch,Ns,Nd,AbsGmag,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist_x,ra_epoch2000,dec_epoch2000,errHalfMaj_xa,errHalfMin_xa,errPosAng_xa,source_id,ra,ra_error,dec,dec_error,parallax_percent,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist_xa,_RAJ2000,_DEJ2000,Name,EPIC,Prot1,Pw1,Q1,Clean?,Sig,Prot2,Pw2,Q2,MP?,SE?,Bl?,Bin?,RawAmp,SmAmp,P,PrCat,PCat,All,2M,Simbad,_RA,_DE,angDist
129.7339,21.9408,08385616+2156271,129.73401,21.940865,0.07,0.06,175,15.278,14.585,12.929,14.357,5.0453,0.047,0.053,0.074,AAA,222,0,2451105.9854,0.435521,134321297339179526,129.73386339,21.94080586,0.01,0.006,0,503636096,60,56059.16122685,5,91,19.216887043249,20.6444,0.0291,20.7306,0.0537,115000,19.4023,0.0106,19.51,0.0214,115000,17.6703,0.0054,17.7555,0.0101,115000,16.8727,0.0051,16.9413,0.0054,115000,16.4732,0.0059,16.5477,0.0101,115000,0.533858,129.7340199065063,21.9408601752576,0.008,0.006,90,665203233431193344,129.7338535432,0.2825,21.94080222561,0.1809,0.0703975299112312,5.182,0.3648,-35.841,0.542,-13.459,0.375,false,793.416,1.2205,650.074559606719,18.439613,109.924,5.99804,18.3266533734353,20.248661,1171.98,11.7929,99.3801355052616,17.08962,3.159041,,,0,,,,,,0.037363,129.73401,21.940865,AD 2484,212095866,0.58,0.0431,0,Y,0.00753,,,,N,N,M,,0.06487,0.56336,2,0,2,All,2M,Simbad,129.73401,21.940865,0.0
130.8439,21.67163,08432257+2140181,130.844076,21.671711,0.06,0.06,90,9.328,8.976,7.71000930452042,8.97,1.417,0.02,0.02,0.018,AAA,222,0,2451109.9865,0.657064,134001308439616586,130.84392761,21.67167007,0.036,0.025,90,1409605632,168,54746.91166667,5,72,9.51400930452042,10.774,,,,114788,10.387,,,,114788,10.267,,,,114788,10.239,,,,114788,10.225,,,,114788,0.517849,130.8440463962947,21.6716950195754,0.001,0.001,90,664963024499946496,130.84387194771,0.039,21.67163315683,0.0234,0.00839645562383879,5.5976,0.047,-37.653,0.075,-14.368,0.048,true,1299240.0,414.719,3132.8200540607,10.40414,681591.0,499.382,1364.86897805688,10.767578,875939.0,656.587,1334.07910908988,9.905735,0.861843,,,0,5516.3,0.423,0.2173,1.42,1.672,0.114536,130.844045,21.67169889,JS532,212081702,11.17,0.7738,0,Y,0.00804,,,,N,Y,N,conf,0.01304,0.59481,2,1,1,All,2M,Simbad,130.844045,21.671699,0.112502
130.7619,21.75375,08430289+2145136,130.762071,21.753801,0.11,0.1,0,13.975,13.434,11.8600383694962,13.069,5.2578,0.027,0.036,0.031,AAA,222,0,2451109.9806,0.600515,134101307619595058,130.76189763,21.75375056,0.003,0.002,90,503636096,60,56077.60530093,5,92,18.3762,19.5852,0.0065,19.7195,0.0117,115000,18.3268,0.0054,18.4179,0.008,115000,16.5699,0.003,16.658,0.0079,115000,15.7796,0.005,15.8402,0.0056,115000,15.3533,0.0043,15.3868,0.0075,115000,0.607459,130.7620771262625,21.7538186727414,0.004,0.003,90,664976218639479296,130.76188472497,0.1266,21.75374664837,0.0797,0.0273,5.7307,0.1567,-41.504,0.239,-16.728,0.178,false,2189.99,1.74613,1254.19642294675,17.337261,264.417,5.19412,50.9069871316027,19.295666,3203.24,7.98865,400.973881694654,15.997946,3.29772,,,0,,,,,,0.066838,130.76207111,21.75380111,AD 3161,212086091,,,2,,,,,,,,,,,,,0,2,All,2M,Simbad,130.762071,21.753801,5.4E-4
131.0454,21.79389,08441093+2147383,131.045544,21.793999,0.07,0.07,90,13.597,12.958,11.474,12.719,4.413,0.028,0.026,0.029,AAA,222,0,2451109.9962,0.621026,134151310454103257,131.04539144,21.79389825,0.007,0.001,90,503636096,60,55972.03771991,5,89,17.0512549221866,18.2964,0.0065,18.409,0.0079,115000,17.132,0.0058,17.2085,0.0037,115000,15.7342,0.0054,15.7915,0.0031,115000,15.1198,0.0032,15.1639,0.0039,115000,14.8126,0.0048,14.8358,0.0026,115000,0.625789,131.0455553717551,21.7939622635124,0.003,0.002,90,665059403566191872,131.04537513149,0.0948,21.79389426033,0.0562,0.0248225691980128,5.636,0.1399,-38.87,0.184,-15.794,0.104,false,4861.39,2.93205,1658.01742807933,16.471464,884.204,6.19149,142.809566033378,17.985008,6341.54,12.16,521.51,15.256434,2.728575,,,0,4065.55,0.478,0.275,,,0.137606,131.04554389,21.79399889,HSHJ475,212088298,15.33,0.8671,0,Y,0.00879,,,,N,Y,N,,0.03895,1.87769,2,0,2,All,2M,Simbad,131.045544,21.793999,5.4E-4
130.4308,21.49727,08414342+2129504,130.430917,21.497341,0.07,0.06,90,14.707,14.056,12.1807311002426,13.626,5.6562,0.032,0.045,0.043,AAA,222,0,2451106.0147,0.467885,133791304308087310,130.43078555,21.49726852,0.002,0.001,90,503635968,60,56050.47439815,5,81,19.132,20.5773,0.0178,20.6793,0.0475,115000,19.2822,0.0067,19.3857,0.0106,115000,17.4043,0.0027,17.4728,0.0067,115000,16.5313,0.0029,16.5795,0.0061,115000,16.0666,0.0056,16.1119,0.0084,115000,0.511808,130.4309328537553,21.4973334201286,0.006,0.004,90,664942404361149568,130.43077461127,0.1963,21.49726523363,0.1087,0.0427,5.1398,0.2195,-34.196,0.384,-15.837,0.228,false,1030.29,1.42665,722.174324466407,18.155972,131.011,7.36848,17.7799220463379,20.058123,1579.7,6.69985,235.781398091002,16.765486,3.292637,,,0,,,,,,0.059704,130.43091694,21.49734111,HSHJ386,212072268,0.53,0.0908,0,N,0.00835,,,,N,N,N,,0.03551,0.3749,2,0,2,All,2M,Simbad,130.430917,21.497341,4.44E-4
131.2241,21.61912,08445387+2137065,131.224469,21.618498,0.08,0.08,90,12.883,12.263,10.7250769396927,12.006,3.9169,0.024,0.024,0.024,AAA,222,0,2451109.9999,2.557172,133941312243402675,131.22428937,21.61844355,0.007,0.005,90,503635968,60,55982.65994213,5,90,15.8200769396927,17.101,0.0041,17.1658,0.0086,115000,15.9229,0.0041,15.9666,0.0035,115000,14.8159,0.0026,14.832,0.003,115000,14.3294,0.0056,14.3266,0.0022,115000,14.0985,0.0033,14.0493,0.0109,115000,0.63233,131.2244546489392,21.6185018141623,0.002,0.001,90,664909835625008256,131.22427383858,0.0647,21.61843882482,0.0357,0.0154,5.5439,0.0853,-39.041,0.127,-14.63,0.067,true,11900.0,7.2004,1652.68596189101,15.499498,2804.39,10.989,255.199745199745,16.731792,14254.5,25.4715,559.625463753607,14.377043,2.35475,,,0,4278.37,0.395,0.198,,,0.049954,131.22447389,21.61848,AD 3349,212078811,23.67,0.7191,0,Y,0.00792,,,,N,M,Y,,0.01146,0.45626,2,0,2,All,2M,Simbad,131.224474,21.61848,0.066835
131.1357,21.68302,08443259+2140592,131.135804,21.683117,0.07,0.07,0,13.331,12.713,11.0933161636497,12.455,4.3475,0.025,0.026,0.026,AAA,222,0,2451109.9962,0.492931,134021311356910192,131.13566135,21.68301974,0.003,0.001,90,503636096,60,55904.32664352,10,70,16.6612,18.0229,0.0054,18.1126,0.002,115000,16.8025,0.0119,16.8721,0.0138,115000,15.4661,0.0038,15.536,0.0023,115000,14.8461,0.0047,14.9093,0.0015,115000,14.5442,0.0058,14.5564,0.0105,115000,0.591876,131.1358195884825,21.6830777943291,0.003,0.002,90,664914164952043008,131.13564759196,0.1019,21.68301553668,0.0568,0.031,5.3415,0.1656,-37.121,0.216,-14.46,0.102,false,6157.6,8.35044,737.398268833738,16.214836,1137.49,9.85982,115.366203439819,17.711515,8029.09,32.14,249.82,15.000255,2.711261,,,0,3970.53,,,,,0.150466,131.13580694,21.68314694,AD 3327,212082288,3.98,0.8625,0,Y,0.00806,,,,N,Y,N,,0.08357,4.01428,P,0,2,All,2M,Simbad,131.135807,21.683147,0.108232
131.2243,21.61844,08445387+2137065,131.224469,21.618498,0.08,0.08,90,12.883,12.263,10.7250769396927,12.006,3.9169,0.024,0.024,0.024,AAA,222,0,2451109.9999,0.602914,133941312243402675,131.22428937,21.61844355,0.007,0.005,90,503635968,60,55982.65994213,5,90,15.8200769396927,17.101,0.0041,17.1658,0.0086,115000,15.9229,0.0041,15.9666,0.0035,115000,14.8159,0.0026,14.832,0.003,115000,14.3294,0.0056,14.3266,0.0022,115000,14.0985,0.0033,14.0493,0.0109,115000,0.63233,131.2244546489392,21.6185018141623,0.002,0.001,90,664909835625008256,131.22427383858,0.0647,21.61843882482,0.0357,0.0154,5.5439,0.0853,-39.041,0.127,-14.63,0.067,true,11900.0,7.2004,1652.68596189101,15.499498,2804.39,10.989,255.199745199745,16.731792,14254.5,25.4715,559.625463753607,14.377043,2.35475,,,0,4278.37,0.395,0.198,,,0.049954,131.22447389,21.61848,AD 3349,212078811,23.67,0.7191,0,Y,0.00792,,,,N,M,Y,,0.01146,0.45626,2,0,2,All,2M,Simbad,131.224474,21.61848,0.066835
129.8386,22.08897,08392131+2205207,129.83881,22.089088,0.16,0.09,0,13.941,13.332,11.7058714284978,13.056,4.4684,0.027,0.027,0.031,AAA,222,0,2451105.9919,0.819249,134501298386987369,129.83864584,22.08897089,0.012,0.005,90,503635968,60,55948.74006944,5,54,17.3880714284978,18.7382,0.0111,18.8395,0.0289,115000,17.5244,0.0092,17.6439,0.0132,115000,16.1181,0.0039,16.1792,0.0039,115000,15.4789,0.005,15.5309,0.0019,115000,15.1684,0.0053,15.2054,0.0029,115000,0.691092,129.8388043567607,22.0890291574323,0.003,0.002,90,665212510560536960,129.83863438018,0.0956,22.08896727213,0.058,0.023854748603352,5.37,0.1281,-36.581,0.193,-14.373,0.128,false,3365.05,3.13078,1074.82799813465,16.870886,582.441,10.1318,57.486428867526,18.43826,4459.87,18.5672,240.201538196389,15.638615,2.799645,,,0,3680.07,0.4505,0.259,,,0.212668,129.83881,22.08908806,HSHJ259,212103507,,,2,,,,,,,,,,,,,0,2,All,2M,Simbad,129.83881,22.089088,2.16E-4
131.3663,21.65353,08452794+2139128,131.366451,21.65357,0.06,0.06,90,9.551,9.324,7.8522055393493,9.257,1.3332,0.023,0.021,0.019,AAA,222,0,2451110.0057,0.52536,133981313662544728,131.3664428,21.65356806,0.05,0.05,90,1141006336,136,51356.66731481,4,42,9.878,11.2828,0.0492,12.4154,0.0872,65656,10.5902,0.0514,12.9703,0.126,16504,9.8097,0.0123,13.3072,0.0565,65656,10.3712,0.0315,12.4749,0.0212,65656,10.3644,0.0183,11.2905,0.0279,114808,0.028312,131.3664278631165,21.6535898427206,0.002,0.001,90,665004702861616256,131.36626481121,0.0568,21.65353004826,0.0321,0.0149,5.2365,0.0779,-35.198,0.117,-13.888,0.059,true,1295770.0,915.039,1416.08171892127,10.407047,729580.0,793.908,918.972979236889,10.693707,817138.0,828.565,986.208686101875,9.981182,0.712524,34.38,0.43,6,6048.0,0.201,0.0867,1.24,1.843,0.105337,131.36643889,21.65357611,JS596,212080687,4.92,0.5092,0,Y,0.00778,,,,N,Y,N,,0.00535,0.15733,K,1,1,All,2M,Simbad,131.366439,21.653576,0.046105
