#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-12-27T06:15:24 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5c245d33af68	
#INFO	-out.form=mini	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-sort=_r
#-nav=cat:I/324&cat:I/337&cat:I/345&tab:{I/345/gaia2}&cat:I/347&cat:VI/137&cat:VI/145&cat:J/A+A/523/A48&cat:V/149&cat:IX/52&key:source=GAIA+DR2&HTTPPRM:&&-ref=VIZ5c245d33af68&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=dec&-c.r=  2&-c.geom=r&-out.orig=standard&-order=I&-out=RA_ICRS&-out=e_RA_ICRS&-out=DE_ICRS&-out=e_DE_ICRS&-out=Source&-out=Plx&-out=e_Plx&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=Dup&-out=FG&-out=e_FG&-out=Gmag&-out=e_Gmag&-out=FBP&-out=e_FBP&-out=BPmag&-out=e_BPmag&-out=FRP&-out=e_FRP&-out=RPmag&-out=e_RPmag&-out=BP-RP&-out=RV&-out=e_RV&-out=Teff&-out=AG&-out=E(BP-RP)&-out=Rad&-out=Lum&-out=ID&-out=eRV&-out=s_RV&-out=Tbase&-out=JDm&-out=N&-out=VC&-ignore=VC=*&VC=VC&-out=Flag&-out=RVS&-out=e_RVS&-out=o_RVS&-out=2MASS&-out=Jmag&-out=e_Jmag&-out=Hmag&-out=e_Hmag&-out=Kmag&-out=e_Kmag&-out=Qflag&-out=Bmag&-out=Vmag&-out=SpType&-out=otype&-out=Simbad&Simbad=Simbad&-out=_RA.icrs&-out=_DE.icrs&-out=Instr&-out=JD&-out=Mask&-out=Idspec&-out=Allwise&-out=IERS&-out=LC&LC=LC&-out=TBest&-out=Pf&-out=P1O&-out=P2O&-out=P3O&-out=EpG&-out=EpBP&-out=EpRP&-out=AmpG&-out=AmpBP&-out=AmpRP&-out=[Fe/H]&-out=R21G&-out=R31G&-out=phi21G&-out=phi31G&-out=MBOL&-out=e_MBOL&-out=Flag&-out=BolCorr&-out=e_BolCorr&-out=Freq&-out=e_Freq&-out=Classifier&-out=BClass&-out=BClassScore&-out=Amp&-out=Nfov&-out=abbe&-out=Nvario&-out=Tvario&-out=Vvario&-out=NGmag&-out=TimeGmag&-out=DurGmag&-out=NBPmag&-out=TimeBPmag&-out=DurBPmag&-out=NRPmag&-out=TimeRPmag&-out=DurRPmag&-out=Ntrans&-out=TransitID&-out=TimeG&-out=TimeBP&-out=TimeRP&-out=VarGr&-out=VarBPr&-out=VarRPr&-out=ProtB&-out=AImax&-out=Gunsp&-out=BPunsp&-out=RPunsp&-out=Nseg&-out=Nout&-out=SProt&-out=FAPsPRot&-out=Scos&-out=Ssin&-out=Sa0&-out=SAI&-out=SGunsp&-out=SBPunsp&-out=SRPunsp&-out=STimeS&-out=STimeE&-out=ScolI&-out=ScolM&-out=Scor&-out=Ssigni&-out=TimeOutliers&-out=Nobs&-out=MPC&-out=Name&-out=astorb&astorb=astorb&-out=Slopeg&-out=Code&-out=Obs.arc&-out=Obs.num&-out=Obs.epoch&-out=Orb.m&-out=Omega&-out=Node&-out=Incl&-out=Eccen&-out=a&-out=Orb.Date&-out=CEU&-out=CEU.rate&-out=CEU.epoch&-out=Transit&-out=Obs.ID&-out=Epoch&-out=Res.RA&-out=Res.DE&-out=Res.AL&-out=Res.AC&-out=Select&-file=-c&-out.max=unlimited&-out.form=Tab-Separated-Values&-c.eq=J2000&-c.u=arcmin&
#-c.r=  2
#-c.geom=r
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=Plx
#-out=Gmag
#-out=BPmag
#-out=RPmag
#-out=BP-RP
#-out.max=unlimited
#-c.eq=J2000
#-c.u=arcsec
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	BPmag	(F7.4)	? Integrated BP mean magnitude (Vega) (phot_bp_mean_mag) (26)	[ucd=phot.mag;stat.mean;em.opt.B]
#Column	RPmag	(F7.4)	? Integrated RP mean magnitude (Vega) (phot_rp_mean_mag) (29)	[ucd=phot.mag;stat.mean;em.opt.R]
#Column	BP-RP	(F7.4)	? BP-RP colour (photBpMeanMag-photRMeanMag) (bp_rp)	[ucd=phot.color;em.opt.B;em.opt.R]
Plx|Gmag|BPmag|RPmag|BP-RP
mas|mag|mag|mag|mag
----------|-------|-------|-------|-------
    0.4331|18.1980|19.0497|17.2838| 1.7659

    0.2413|19.1990|20.0045|18.2483| 1.7562

    0.7235|19.2624|20.2099|18.2813| 1.9287

    1.0058|19.8731|21.0654|18.6961| 2.3693

    0.3893|18.9659|19.9553|18.0041| 1.9512

    0.4777|17.5484|18.0630|16.8102| 1.2529

    0.5237|15.0489|15.4037|14.5294| 0.8743

    0.5371|18.0864|18.7524|17.3146| 1.4377

    0.5311|15.3692|15.7134|14.8664| 0.8470

    0.6262|17.8515|18.4459|17.1215| 1.3244

    0.5291|10.0511|11.2111| 9.0249| 2.1862

    0.7380|19.5276|20.6362|18.4431| 2.1931

    0.4928|15.6409|16.0139|15.1016| 0.9122

    0.5738|19.5392|20.3669|18.4086| 1.9583

    0.4914|16.2981|16.7105|15.7230| 0.9875

    0.5557|19.5311|20.5357|18.3733| 2.1624

    0.6193|17.2698|17.7875|16.6029| 1.1846

    0.1627|18.9989|20.1126|17.9835| 2.1290

    0.4615|19.5830|20.3811|18.5982| 1.7830

    0.5640|19.2465|20.0088|18.2581| 1.7507

    0.5471|16.5998|17.0290|15.9999| 1.0291

    0.8488|19.3762|20.4188|18.3875| 2.0313

    0.4502|19.4499|20.4675|18.3732| 2.0943

    0.4740|19.8096|20.7797|18.9003| 1.8794

    0.4548|16.7986|17.2799|16.1664| 1.1136

    0.4156|17.0289|17.5289|16.3932| 1.1357

    0.5824|18.2634|18.9093|17.5101| 1.3992

    0.3161|19.6363|20.6916|18.6770| 2.0146

    0.6787|19.7522|20.9740|18.6365| 2.3374

    0.6268|17.5909|18.1565|16.9077| 1.2488

    0.6372|17.2792|17.7927|16.6156| 1.1771

    0.5225|19.3359|20.1942|18.4232| 1.7709

    0.5119|14.9428|15.4534|14.2880| 1.1654

    0.5338|15.8311|16.1957|15.3070| 0.8887

    0.5214|15.6490|16.0210|15.1268| 0.8942

    0.3812|19.7253|20.7476|18.7111| 2.0365

    0.5892|18.2447|18.9472|17.4421| 1.5050

    0.4873|14.8391|15.2147|14.3044| 0.9103

    0.4117|18.2270|18.9175|17.4507| 1.4668

    0.4266|16.9129|17.3872|16.2922| 1.0950

    0.5053|17.5277|18.0851|16.8034| 1.2818

    0.4850|16.2700|16.6957|15.7034| 0.9923

    0.1722|18.4759|19.4025|17.5402| 1.8623

    0.5493|15.3551|15.7236|14.8273| 0.8963

    0.4251|17.8346|18.4892|17.0835| 1.4056

    0.5312|14.8786|15.3429|14.2653| 1.0776

    0.6928|17.9737|18.7150|17.1487| 1.5663

    0.4907|15.8147|16.1736|15.2941| 0.8795

    0.7608|19.8306|21.0459|18.7620| 2.2839

    0.4906|16.7538|17.2536|16.1042| 1.1493

    0.8832|19.6067|20.5567|18.6126| 1.9442

    0.4183|19.2785|20.3161|18.2470| 2.0691

    0.3488|18.0544|18.7399|17.2883| 1.4516

    0.3217|19.8266|20.7672|18.8203| 1.9469

    0.4854|16.0464|16.4349|15.5097| 0.9252

    0.5128|15.7600|16.1334|15.2284| 0.9050

   -0.0240|19.9988|20.8867|18.9793| 1.9075

    0.4334|18.0530|18.7444|17.2931| 1.4513

    0.4777|18.1713|18.7965|17.4479| 1.3487

    0.5562|16.7352|17.1899|16.1424| 1.0475

    0.6272|19.7250|20.6129|18.6888| 1.9241

    0.5365|19.5772|20.4198|18.5416| 1.8782

    0.5200|17.0550|17.5400|16.4184| 1.1216

    0.4851|17.0273|17.5763|16.3609| 1.2154

    0.4746|15.7128|16.0731|15.1894| 0.8837

    0.4453|16.7410|17.2176|16.1309| 1.0867

    0.5434|17.2269|17.7765|16.5408| 1.2357

    0.8427|19.2641|20.1708|18.3854| 1.7854

    0.2548|19.9251|20.8569|18.9274| 1.9295

    0.4860|14.8776|15.3353|14.2691| 1.0661

    0.5951|18.3270|19.0653|17.5296| 1.5356

    0.7365|19.9760|21.0640|18.8727| 2.1913

    0.9877|19.1850|20.3404|18.1048| 2.2356

    0.4657|18.1403|18.7862|17.3764| 1.4098

    0.3819|17.3637|17.9787|16.6211| 1.3576

    0.7312|19.7221|20.7862|18.6403| 2.1459

    0.6366|17.3455|17.8598|16.6884| 1.1714

    0.2573|18.7843|19.5248|17.8470| 1.6778

    0.4322|17.1314|17.6865|16.4260| 1.2605

    0.7368|19.1830|20.1274|18.1328| 1.9946

    0.4082|17.8459|18.5909|16.9756| 1.6154

   -0.4377|19.4456|20.5154|18.4402| 2.0752

    0.4993|13.1857|13.7833|12.4655| 1.3178

    0.3839|16.9718|17.4443|16.3623| 1.0820

    0.5411|15.8520|16.2186|15.3335| 0.8850

    0.4197|16.5893|17.0400|15.9997| 1.0403

    0.2950|19.6614|20.4015|18.5902| 1.8113

