#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-12-27T06:51:00 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5c245d33af68	
#INFO	-out.form=mini	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-sort=_r
#-nav=cat:I/324&cat:I/337&cat:I/345&tab:{I/345/gaia2}&cat:I/347&cat:VI/137&cat:VI/145&cat:J/A+A/523/A48&cat:V/149&cat:IX/52&key:source=GAIA+DR2&HTTPPRM:&&-ref=VIZ5c245d33af68&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=dec&-c.r=  2&-c.geom=r&-out.orig=standard&-order=I&-out=RA_ICRS&-out=e_RA_ICRS&-out=DE_ICRS&-out=e_DE_ICRS&-out=Source&-out=Plx&-out=e_Plx&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=Dup&-out=FG&-out=e_FG&-out=Gmag&-out=e_Gmag&-out=FBP&-out=e_FBP&-out=BPmag&-out=e_BPmag&-out=FRP&-out=e_FRP&-out=RPmag&-out=e_RPmag&-out=BP-RP&-out=RV&-out=e_RV&-out=Teff&-out=AG&-out=E(BP-RP)&-out=Rad&-out=Lum&-out=ID&-out=eRV&-out=s_RV&-out=Tbase&-out=JDm&-out=N&-out=VC&-ignore=VC=*&VC=VC&-out=Flag&-out=RVS&-out=e_RVS&-out=o_RVS&-out=2MASS&-out=Jmag&-out=e_Jmag&-out=Hmag&-out=e_Hmag&-out=Kmag&-out=e_Kmag&-out=Qflag&-out=Bmag&-out=Vmag&-out=SpType&-out=otype&-out=Simbad&Simbad=Simbad&-out=_RA.icrs&-out=_DE.icrs&-out=Instr&-out=JD&-out=Mask&-out=Idspec&-out=Allwise&-out=IERS&-out=LC&LC=LC&-out=TBest&-out=Pf&-out=P1O&-out=P2O&-out=P3O&-out=EpG&-out=EpBP&-out=EpRP&-out=AmpG&-out=AmpBP&-out=AmpRP&-out=[Fe/H]&-out=R21G&-out=R31G&-out=phi21G&-out=phi31G&-out=MBOL&-out=e_MBOL&-out=Flag&-out=BolCorr&-out=e_BolCorr&-out=Freq&-out=e_Freq&-out=Classifier&-out=BClass&-out=BClassScore&-out=Amp&-out=Nfov&-out=abbe&-out=Nvario&-out=Tvario&-out=Vvario&-out=NGmag&-out=TimeGmag&-out=DurGmag&-out=NBPmag&-out=TimeBPmag&-out=DurBPmag&-out=NRPmag&-out=TimeRPmag&-out=DurRPmag&-out=Ntrans&-out=TransitID&-out=TimeG&-out=TimeBP&-out=TimeRP&-out=VarGr&-out=VarBPr&-out=VarRPr&-out=ProtB&-out=AImax&-out=Gunsp&-out=BPunsp&-out=RPunsp&-out=Nseg&-out=Nout&-out=SProt&-out=FAPsPRot&-out=Scos&-out=Ssin&-out=Sa0&-out=SAI&-out=SGunsp&-out=SBPunsp&-out=SRPunsp&-out=STimeS&-out=STimeE&-out=ScolI&-out=ScolM&-out=Scor&-out=Ssigni&-out=TimeOutliers&-out=Nobs&-out=MPC&-out=Name&-out=astorb&astorb=astorb&-out=Slopeg&-out=Code&-out=Obs.arc&-out=Obs.num&-out=Obs.epoch&-out=Orb.m&-out=Omega&-out=Node&-out=Incl&-out=Eccen&-out=a&-out=Orb.Date&-out=CEU&-out=CEU.rate&-out=CEU.epoch&-out=Transit&-out=Obs.ID&-out=Epoch&-out=Res.RA&-out=Res.DE&-out=Res.AL&-out=Res.AC&-out=Select&-file=-c&-out.max=unlimited&-out.form=Tab-Separated-Values&-c.eq=J2000&-c.u=arcmin&
#-c.r=  2
#-c.geom=r
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=Plx
#-out=Gmag
#-out=BPmag
#-out=RPmag
#-out=BP-RP
#-out.max=unlimited
#-c.eq=J2000
#-c.u=arcsec
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	BPmag	(F7.4)	? Integrated BP mean magnitude (Vega) (phot_bp_mean_mag) (26)	[ucd=phot.mag;stat.mean;em.opt.B]
#Column	RPmag	(F7.4)	? Integrated RP mean magnitude (Vega) (phot_rp_mean_mag) (29)	[ucd=phot.mag;stat.mean;em.opt.R]
#Column	BP-RP	(F7.4)	? BP-RP colour (photBpMeanMag-photRMeanMag) (bp_rp)	[ucd=phot.color;em.opt.B;em.opt.R]
Plx|Gmag|BPmag|RPmag|BP-RP
mas|mag|mag|mag|mag
----------|-------|-------|-------|-------
    1.1008|15.7056|16.2136|15.0607| 1.1529

    1.1740|16.2229|16.8253|15.4969| 1.3283

    1.1562|15.5475|16.0244|14.9221| 1.1023

    1.1766|11.7905|12.3174|11.1379| 1.1795

    1.1045|17.2510|18.0727|16.3540| 1.7187

    1.1748|15.2296|15.7075|14.5986| 1.1089

    1.1905|16.9873|17.7485|16.1305| 1.6181

    1.2446|15.8942|16.4648|15.1766| 1.2882

    0.9750|17.4579|18.4766|16.4486| 2.0280

    1.0580|15.0724|15.4890|14.5059| 0.9831

    1.3444|19.3558|20.5388|18.2006| 2.3383

    1.0770|13.0701|13.3667|12.6153| 0.7514

    1.1573|14.0348|14.3580|13.5572| 0.8008

    1.1943|15.6506|16.1469|15.0146| 1.1323

    1.0540|15.3962|15.8629|14.7866| 1.0763

    0.8430|18.8006|19.9320|17.6715| 2.2604

    1.0432|15.3252|15.7908|14.7122| 1.0786

    1.0609|19.7960|21.1186|18.6587| 2.4600

    1.0056|17.1103|17.9449|16.1978| 1.7472

    1.1143|12.5678|12.8657|12.1163| 0.7494

    1.1428|14.0118|14.3322|13.5351| 0.7972

    1.0157|17.6478|18.5363|16.6936| 1.8427

    1.0891|14.9976|15.4173|14.4139| 1.0034

    1.1044|14.0612|14.3692|13.5960| 0.7732

    1.1217|13.3716|13.6610|12.9282| 0.7327

    0.7411|18.9402|20.1220|17.7841| 2.3379

    0.8742|19.2982|20.3248|18.2093| 2.1155

    0.9345|17.9484|18.9315|16.9543| 1.9772

    1.2118|16.5707|17.3819|15.6865| 1.6954

    1.0918|13.1893|13.4794|12.7413| 0.7381

    0.9656|18.9103|19.9834|17.8151| 2.1683

    1.4483|18.1904|19.2267|17.1744| 2.0523

    0.9876|13.1463|13.4342|12.6994| 0.7348

    0.3551|19.2519|20.4220|18.0795| 2.3424

    1.3686|17.8916|18.8121|16.9103| 1.9017

    1.0764|15.3784|15.8244|14.7862| 1.0382

    1.4403|18.5059|19.5513|17.4533| 2.0981

    1.2098|17.0961|17.8836|16.2296| 1.6540

    1.0995|14.0540|14.3739|13.5789| 0.7950

    1.5883|18.2387|19.2513|17.2031| 2.0482

    1.1237|13.2423|13.5427|12.7820| 0.7607

    0.9873|18.7211|19.9922|17.5546| 2.4376

    1.1806|17.0367|17.8267|16.1788| 1.6478

    1.1952|19.0623|20.2084|17.9440| 2.2644

    1.1880|15.0226|15.4391|14.4535| 0.9856

    1.0940|13.0309|13.3296|12.5721| 0.7575

    1.1184|18.2757|19.2663|17.2504| 2.0159

    1.1265|13.0264|13.3213|12.5726| 0.7488

    1.1947| 9.4037|10.1001| 8.6313| 1.4688

    1.1020|14.5230|14.9671|13.9298| 1.0374

    1.1015|13.1607|13.4507|12.7119| 0.7389

    1.0992|15.9439|16.4910|15.2592| 1.2318

    0.8057|19.2428|20.3533|18.1267| 2.2266

    1.1241|13.1919|13.4843|12.7422| 0.7421

    1.0624|13.6585|13.9554|13.2063| 0.7491

    1.2090|16.6451|17.3502|15.8295| 1.5206

    0.5896|19.5970|20.7989|18.3824| 2.4164

    1.8082|19.1361|20.4466|17.9553| 2.4913

    1.0790|14.2028|14.5302|13.7193| 0.8108

    1.3428|18.7324|19.8493|17.5861| 2.2632

    1.3725|19.0513|20.2020|17.9311| 2.2709

    1.2248|18.0135|18.9707|17.0054| 1.9653

    0.4704|19.7504|20.6358|18.5239| 2.1118

    0.4404|19.6012|21.0318|18.3899| 2.6419

    1.3567|19.0619|20.1331|17.8454| 2.2877

    1.2597|18.6158|19.6930|17.5248| 2.1682

    1.1491|13.7232|14.0226|13.2646| 0.7580

    1.1301|13.1119|13.4072|12.6577| 0.7494

    0.8277|17.1791|18.0659|16.2182| 1.8477

    1.1511|14.5302|14.8916|14.0132| 0.8784

    1.2203|17.8311|18.7347|16.8586| 1.8761

    1.1680|15.2037|15.7403|14.5238| 1.2165

    1.2998|16.7877|17.5111|15.9634| 1.5476

    1.5113|19.2307|20.4170|18.1016| 2.3154

    1.3024|19.7122|20.9297|18.4576| 2.4721

    1.0541|15.3216|15.7703|14.7267| 1.0436

    0.7937|17.4765|18.5111|16.4653| 2.0458

    1.0549|17.0105|17.7701|16.1465| 1.6236

    1.0804|17.9060|18.9281|16.8273| 2.1008

    0.8478|19.7422|20.9639|18.5449| 2.4190

    1.3594|19.3107|20.5312|18.1174| 2.4138

    1.2542|18.5248|19.7713|17.3996| 2.3717

    1.2330|16.4383|17.0720|15.6834| 1.3887

    0.9306|18.9507|20.1143|17.8217| 2.2926

    1.1988|16.6361|17.3998|15.7876| 1.6123

    0.8416|17.7718|18.8812|16.7168| 2.1643

    1.1399|17.4250|18.3438|16.4888| 1.8550

