col1,col2,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,AbsKmag,Kmag,r-K,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,angDist,objID,RAJ2000_x,DEJ2000_x,errHalfMaj_x,errHalfMin_x,errPosAng_x,f_objID,Qual,Epoch,Ns,Nd,AbsGmag,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist_x,ra_epoch2000,dec_epoch2000,errHalfMaj_xa,errHalfMin_xa,errPosAng_xa,source_id,ra,ra_error,dec,dec_error,parallax_percent,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist_xa
64.87461,21.75372,04192976+2145141,64.874034,21.753925,0.08,0.06,90,10.106,9.442,10.8232300846625,9.222,3.524,0.021,0.02,0.018,AAA,222,0,2450752.8329,2.062485,134100648743015328,64.8744549,21.75378538,0.033,0.032,0,906289152,108,55469.4378125,0,22,16.1682300846625,14.567,0.0076,14.6089,0.0069,16696,12.746,,,,16420,12.079,,,,4,11.621,,,,4,11.411,,,,16420,1.494397,64.8741033967414,21.7538835994028,0.003,0.002,90,49520255665123328,64.87460904003,0.0726,21.75371632297,0.0318,0.0035,20.9048,0.0727,109.076,0.172,-38.851,0.097,false,135153,164.382,12.861299,27492,172.529,14.253371,166747,397.317,11.706774,2.546598,,,0,3923.21,,,,,0.27578
59.80696,20.42805,03591350+2025415,59.806276,20.428217,0.07,0.07,0,9.973,9.348,10.8774556901592,9.094,3.8868,0.021,0.025,0.019,AAA,222,0,2450750.8412,2.384573,132510598067564273,59.80665985,20.4282039,0.012,0.012,90,1375887360,164,56789.08270833,1,26,15.9971,14.2136,0.0029,14.2326,0.004,280,12.9808,0.0028,13.4627,0.0547,24,12.158,0.0179,12.9643,0.0057,24,11.3818,0.0113,12.4159,0.0066,114744,11.194,0.0122,11.605,0.0165,24,1.295814,59.8063431510625,20.428207410243,0.001,0.001,90,51383893515451392,59.80696458179,0.0389,20.42804912058,0.0212,0.0018,22.7348,0.0418,135.255,0.094,-36.764,0.053,true,176687,76.6779,12.570355,40248.5,72.5811,13.839513,207750,232.597,11.468065,2.371448,36.84,0.85,13,4008.51,0.2917,0.1517,,,0.229156
65.8435,21.37893,04232231+2122448,65.842973,21.379116,0.06,0.06,90,7.531,7.197,8.61322389335667,7.121,1.2217,0.019,0.017,0.016,AAA,111,0,2450752.878,1.889292,133650658434405197,65.84306329,21.37909138,0,0,90,268959744,32,51997.91195602,0,8,1.4922,,,,,64,8.3427,0.001,12.2238,0.001,88,8.5718,0.1389,12.1355,0.3127,80,7.9713,0.3134,11.3835,0.0352,88,8.6258,0.066,10.6603,0.2671,88,0.315387,65.8430408619706,21.3790981872277,0.002,0.001,90,145325548516513280,65.84350110378,0.0442,21.37893467308,0.0239,0.0023,19.8813,0.0462,99.539,0.124,-37.978,0.075,true,6602460,3122.45,8.639102,3360840,4914.27,9.035269,4551730,5324.84,8.116479,0.91879,38.66,0.25,9,5500,0.079,0.0433,0.9,0.675,0.236358
66.58044,21.46875,04261916+2128082,66.579868,21.468954,0.09,0.08,0,11.795,11.131,12.5369744728213,10.934,4.5756,0.03,,0.023,AUA,202,0,2450752.908,2.05223,133760665802793228,66.58041553,21.46875799,0.121,0.034,90,579133440,69,55935.86324074,5,21,18.2741,16.6711,0.0186,13.9203,0.0164,16810296,15.5096,0.0735,12.5282,0.1702,16843064,14.3929,0.0181,13.4434,0.0624,16810296,13.5874,0.0015,11.609,0.001,115000,13.1093,0.0014,12.1101,0.0454,16892216,1.965387,66.5799490299517,21.4689225732415,0.003,0.002,90,145293181643038208,66.58043838372,0.0749,21.46874914973,0.0461,0.0035,20.9216,0.0736,105.77,0.174,-40.279,0.137,false,17395.4,19.7783,15.087281,2486,17.2029,16.862635,24497.3,44.3794,13.789124,3.073511,,,0,4344.07,0.308,0.183,,,0.2941
66.81982,17.24172,04271663+1714305,66.819316,17.241827,0.06,0.06,90,9.714,9.067,10.5126672371271,8.826,3.684,0.019,0.028,0.024,AAA,222,0,2451453.9043,1.775162,128690668192250661,66.81927371,17.24180687,0.017,0.017,90,612524032,73,55080.9999537,1,7,19.1095,17.4228,0.0085,,,16793656,12.51,,,,36,11.791,,,,36,11.288,,,,114724,11.062,,,,36,0.162461,66.8193312361648,17.2418513110052,0.001,0.001,90,3313778207594395392,66.81981669425,0.0425,17.24171572183,0.0209,0.0021,21.7437,0.0463,107.685,0.083,-31.492,0.058,false,261703,99.9319,12.143844,66102.4,113.164,13.300845,294063,327.506,11.090819,2.210026,40.37,0.4,14,4046.59,0.352,0.191,,,0.102
66.57982,17.05048,04261903+1703021,66.579318,17.050594,0.07,0.06,90,12.87,12.278,13.5568861506276,11.907,5.6851,0.025,0.027,0.025,AAA,222,0,2451135.7517,1.77584,128460665796331149,66.57973525,17.05049922,0.004,0.003,0,436527104,52,56205.20704861,5,70,20.5747,18.9248,0.0113,19.0099,0.0151,115000,17.5921,0.0053,17.6721,0.0046,115000,15.6289,0.0032,15.691,0.0029,115000,14.7002,0.0031,14.7699,0.0037,115000,14.2594,0.0054,14.2703,0.0045,115000,1.476056,66.5793590870621,17.0506003655658,0.004,0.002,90,3313751441358252160,66.57981519606,0.122,17.05047864838,0.0505,0.0063,21.3785,0.1349,101.279,0.233,-28.27,0.154,false,5364.56,4.35485,16.36453,520.033,6.07289,18.561312,8210.15,18.4392,14.976042,3.58527,,,0,3444.75,0.143,0.097,,,0.143257
66.09325,17.07884,04242225+1704444,66.092744,17.079027,0.07,0.06,90,6.059,5.935,7.3524160273996,5.892,7.4782,0.019,0.018,0.018,AAA,111,0,2450727.9241,1.866874,128490660923695568,66.09249626,17.07929748,0.26,0.229,90,1086414848,129,55977.58862269,1,9,14.8557,13.3953,0.0596,11.4508,0.029,16777264,13.3702,0.2213,11.471,0.001,16777264,13.7949,0.0011,,,16891960,12.8222,0.0571,12.6375,0,16777272,,,,,0,1.294202,66.0928056803697,17.0789554725408,0.003,0.001,90,3313947704182762240,66.0932549883,0.0664,17.07883973584,0.0289,0.0036,19.5922,0.0707,99.753,0.167,-26.881,0.093,true,3.46451E+07,6627.68,6.839261,2.0203E+07,8412.83,7.087849,2.03954E+07,16750.5,6.488092,0.599757,38.54,0.34,20,6466.95,0.2653,0.149,1.49,3.492,0.333705
66.25144,16.98479,04250024+1659057,66.251006,16.984922,0.08,0.07,0,8.486,7.98,9.14013040065149,7.83,2.1338,0.023,0.024,0.016,AAA,111,0,2451135.742,1.567993,128380662512652093,66.25118691,16.98472248,0.042,0.042,90,268959744,32,56422.22064815,0,22,12.2023,10.8922,0.1033,12.5393,0.0619,24,9.9638,0.0039,12.3454,0.0338,24,9.1438,0.0524,13.1143,0.1291,24,9.7021,0.0441,12.0086,0.0279,24,9.3391,0.1472,11.2896,0.1544,24,0.950726,66.2510296346715,16.984897563906,0.002,0.001,90,3313759000500605056,66.25143984368,0.0596,16.98479106816,0.0272,0.0034,18.2821,0.0622,91.119,0.155,-24.735,0.086,false,1941900,817.019,9.967796,850485,781.54,10.527222,1542820,1004.89,9.291132,1.23609,39.19,0.88,5,4798.22,0.2098,0.107,0.75,0.266,0.119835
71.13217,23.94088,04443162+2356279,71.131768,23.941084,0.08,0.07,90,11.17,10.584,11.7475182378102,10.297,4.6788,0.024,0.032,0.019,AAA,222,0,2451530.7007,1.512894,136720711320319707,71.13214959,23.94088775,0.01,0.009,0,503636096,60,56090.60613426,5,87,17.6143,16.1638,0.0075,16.2525,0.0039,115000,14.9758,0.0033,15.0278,0.0039,115000,13.5177,0.0204,13.533,0.0117,16892216,12.9595,0.001,12.9105,0.001,16892216,12.4511,0.0025,12.4677,0.004,115000,1.440662,71.1317659119269,23.9410857653312,0.002,0.001,90,147022541634235392,71.13217218674,0.0603,23.94087573265,0.0376,0.0036,19.5031,0.0697,86.242,0.138,-48.782,0.062,false,38323.8,30.6991,14.229694,6112.74,35.2962,15.885799,51568.1,110.624,12.980967,2.904833,,,0,3927.47,0.631,0.3607,,,0.009359
72.97271,24.60989,04515333+2436365,72.972223,24.61014,0.07,0.06,90,12.485,11.867,13.1424035476356,11.54,5.3731,0.022,0.022,0.022,AAA,222,0,2450785.788,1.830481,137530729725432495,72.97265612,24.60994016,0.022,0.018,0,436527232,52,56239.76491898,5,62,19.8069,18.2045,0.0091,18.2945,0.0248,115000,16.9131,0.0045,17.0117,0.0188,115000,15.117,0.0039,15.1946,0.0099,115000,14.2624,0.0021,14.3184,0.0108,115000,13.8097,0.0121,13.8455,0.0064,115000,1.589701,72.9723032851961,24.6101225271419,0.002,0.001,90,147118233505518976,72.97271266712,0.0806,24.60988527928,0.048,0.0045,20.9161,0.0933,86.445,0.153,-55.103,0.084,false,8653.35,5.78353,15.845406,994.05,10.0811,17.857868,12780.3,46.013,14.495566,3.362302,,,0,4083.52,0.314,0.196,,,0.270196
