col1,col2,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,AbsKmag,Kmag,r-K,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,angDist,objID,RAJ2000_x,DEJ2000_x,errHalfMaj_x,errHalfMin_x,errPosAng_x,f_objID,Qual,Epoch,Ns,Nd,AbsGmag,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist_x,ra_epoch2000,dec_epoch2000,errHalfMaj_xa,errHalfMin_xa,errPosAng_xa,source_id,ra,ra_error,dec,dec_error,parallax_percent,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist_xa
31.82308,37.02489,02071752+3701298,31.82303,37.024948,0.07,0.06,90,12.798,12.298,8.90999005153814,12.129,2.3352,0.023,0.023,0.021,AAA,222,0,2451109.8663,0.253474,152430318230640506,31.82306574,37.024898,0.004,0.003,0,503635968,60,56085.29900463,5,63,11.9767,15.1957,0.0031,15.2509,0.0012,115000,14.4642,0.0024,14.5193,0.0012,115000,14.1676,0.0065,14.1802,1E-04,115000,13.9619,0.0023,14.0085,0.0021,115000,13.8405,0.0012,13.8853,0.0037,115000,0.207248,31.8230229032368,37.0249378587043,0.001,0.001,90,330645347159656320,31.82307893649,0.0289,37.02488795558,0.0242,0.0141,2.2709,0.0321,10.39,0.058,-11.59,0.055,false,30448.3,15.1078,14.47946,12967.9,33.2886,15.069211,25245.2,32.7572,13.756475,1.312737,,,0,4888.97,0.516,0.258,0.72,0.264,0.04182
29.71014,37.34774,01585042+3720520,29.710111,37.347801,0.06,0.06,90,9.643,9.485,6.23451354137057,9.436,0.9915,0.02,0.023,0.02,AAA,222,0,2451127.7847,0.23476,152810297101438221,29.71027109,37.34793206,0.001,0.001,90,1343750144,160,56089.32376157,5,16,8.0159,11.2174,0.0483,12.3233,0.0517,114744,10.4275,0.0843,12.8526,0.2454,114744,10.2867,0.0756,12.633,0.0296,114744,10.6902,0.1345,11.907,0.0077,114744,11.4,0.1013,11.4096,0.005,114744,0.657662,29.7100892921922,37.3477901457891,0.001,0.001,0,330829824594783744,29.71014156836,0.0348,37.34773892453,0.0317,0.0180,2.2893,0.0411,9.652,0.068,-11.897,0.072,false,1356020,509.122,10.357697,810509,945.64,10.579493,786723,1362.95,10.022365,0.557128,19,5.18,4,6661.35,,,2.38,10.008,0.073392
31.43779,37.05965,02054507+3703346,31.437804,37.059631,0.2,0.19,13,16.426,15.93,11.7108785000337,15.455,4.6002,0.12,0.164,0.175,BCC,222,0,2451109.8491,0.079348,152470314377812205,31.43778894,37.05965365,0.005,0.005,0,503635968,60,56265.8552662,5,53,17.4062,21.1503,0.0345,21.039,0.1926,115000,20.0552,0.0153,20.1994,0.0413,115000,18.6675,0.0065,18.7527,0.0116,115000,18.0043,0.0114,18.097,0.0176,115000,17.7115,0.0127,17.7837,0.0545,115000,0.092307,31.4377498817693,37.0596896841541,0.013,0.011,90,330672766229767808,31.43779299135,0.4612,37.0596456068,0.3404,0.2899,1.7831,0.5169,7.99,0.815,-10.237,0.678,false,316.48,1.63263,19.437498,54.4161,7.74136,21.01207,433.836,6.80726,18.168606,2.843464,,,0,,,,,,0.262305
31.45218,37.47099,02054851+3728156,31.452129,37.471027,0.06,0.06,90,9.249,9.057,5.63018427047458,8.989,1.122,0.02,0.022,0.018,AAA,222,0,2451109.8494,0.197422,152960314521735822,31.45218044,37.47099001,0.001,0.001,90,1409359872,168,51109.34939815,5,50,6.96518427047458,10.324,,,,114788,10.111,,,,114788,10.057,,,,114788,10.057,,,,114788,10.062,,,,114788,0.198328,31.4521300884754,37.4710421722036,0.001,0.001,0,330717227732264960,31.45218187959,0.0455,37.4709881743,0.0428,0.0254,2.1293,0.0541,9.547,0.086,-12.541,0.097,false,1791130,1518.85,10.055547,1037430,1764.98,10.311486,1073950,1578.83,9.684458,0.627028,9.96,2.12,4,6304.05,,,3.28,15.312,0.054708
31.51673,37.43583,02060400+3726091,31.516678,37.435886,0.07,0.06,0,12.583,12.175,8.8221823002344,12.096,1.8136,0.025,0.022,0.02,AAA,222,0,2451109.8564,0.250474,152920315167223614,31.51672451,37.43582967,0.005,0.003,90,503635968,60,55979.75876157,10,69,11.1683,14.4421,0.0067,14.5043,0.0016,115000,13.9096,0.0227,13.9474,0.0034,115000,13.6562,0.001,13.708,0.001,16892472,13.5859,0.0026,13.6399,0.0069,115000,13.5321,0.0048,13.5595,0.0018,115000,0.242484,31.5166788666106,37.435882529659,0.001,0.001,90,330716162580381184,31.5167290119,0.0302,37.4358274973,0.0247,0.0152,2.2143,0.0336,9.248,0.061,-12.782,0.061,false,51181.1,54.3524,13.915592,24894.7,178.681,14.361121,37994.6,108.383,13.312616,1.048505,,,0,5099.5,0.096,0.0385,0.86,0.446,0.012736
31.68004,36.58906,02064321+3635215,31.680049,36.58931,0.25,0.21,121,16.211,15.599,11.641,15.525,4.4307,0.118,0.119,0.193,BBC,222,0,2451109.8584,0.900376,151900316800177521,31.68003582,36.5890822,0.004,0.004,0,503635968,60,56151.7456713,5,52,17.237681365515,21.1215,0.0741,21.3275,0.0358,115000,19.9557,0.0171,20.0827,0.0287,115000,18.5271,0.0057,18.6242,0.0069,115000,17.8657,0.0056,17.9477,0.0121,115000,17.5589,0.0075,17.6117,0.0227,115000,0.820964,31.6799876923414,36.5891120416297,0.01,0.01,90,330595727401098496,31.68004305127,0.3277,36.5890627029,0.3622,0.276,1.672,0.462,10.324,0.666,-11.459,0.657,false,361.31,1.32948,19.293665,66.2089,9.73539,20.799097,498.89,8.40506,18.016909,2.782188,,,0,,,,,,0.734353
32.0198,37.44084,02080473+3726272,32.019726,37.440891,0.14,0.14,45,15.907,15.427,11.6739239147995,15.065,4.4742,0.084,0.114,0.14,ABB,222,0,2451109.8686,0.280086,152920320197989642,32.01979502,37.44083855,0.004,0.002,90,503635968,60,56129.10708333,10,60,17.4684,20.8595,0.0223,21.1456,0.0689,115000,19.5392,0.0257,19.634,0.0221,115000,18.128,0.0071,18.2196,0.0089,115000,17.4631,0.0071,17.5261,0.005,115000,17.15,0.0117,17.2538,0.0147,115000,0.273081,32.0197394071756,37.4408864718698,0.011,0.008,0,330661354502082688,32.01979696853,0.2531,37.44083646756,0.2784,0.1552,2.0979,0.3255,10.615,0.515,-11.614,0.707,false,523.186,1.54595,18.891726,98.5001,15.1404,20.367796,742.025,19.2637,17.585873,2.781923,,,0,,,,,,0.041645
30.96112,37.25434,02035066+3715157,30.961092,37.254375,0.06,0.06,90,11.47,11.224,7.82648696351003,11.15,1.327,0.027,0.03,0.02,AAA,222,0,2451453.9748,0.149376,152700309611215848,30.96110159,37.25433988,0.029,0.022,90,906289152,108,55981.03702546,5,59,9.46948696351003,12.793,,,,114724,12.477,,,,114724,12.371,,,,114724,12.343,,,,114724,12.3047,0.0015,12.3096,0.0015,16892216,0.129384,30.9610663493466,37.2543894667146,0.002,0.002,0,330874659757287936,30.96111628306,0.0512,37.25433911841,0.0488,0.0292,2.1642,0.0631,9.231,0.098,-11.694,0.113,false,202721,52.0735,12.421119,113594,155.637,12.712997,130401,151.853,11.973721,0.739277,6.31,1.29,8,6160.99,0.1547,0.0775,1.14,1.682,0.090081
30.08291,37.69626,02001988+3741466,30.082836,37.696304,0.08,0.07,90,14.361,13.794,10.2032141571686,13.437,3.8102,0.036,0.04,0.038,AAA,222,0,2451453.9461,0.263674,153230300828716166,30.08291062,37.69625907,0.006,0.004,0,503635968,60,56191.04224537,5,68,15.2671,18.5009,0.0094,18.6015,0.0113,115000,17.2472,0.0024,17.3344,0.0044,115000,16.1977,0.0016,16.2724,0.0032,115000,15.7413,0.0042,15.8009,0.0031,115000,15.5076,0.0035,15.5595,0.006,115000,0.267102,30.0828576308732,37.6963062655878,0.003,0.002,90,330864729792772096,30.08291238682,0.0994,37.69625551331,0.0807,0.0493,2.2555,0.1112,10.063,0.202,-11.788,0.158,false,3244.94,3.73276,16.910347,764.839,12.8544,18.142462,3799.24,15.7868,15.812678,2.329783,,,0,3972.66,,,,,0.062154
29.83296,37.38968,01591990+3723230,29.83293,37.389732,0.06,0.06,90,11.472,11.14,7.834328342377,11.052,1.776,0.021,0.021,0.02,AAA,222,0,2451127.7847,0.205929,152860298329998295,29.83294974,37.3896827,0.153,0.065,90,637853696,76,55904.84275463,5,81,10.103328342377,13.321,,,,114724,12.828,,,,114724,12.602,,,,65572,12.477,,,,114724,12.3827,0.0028,12.395,0.0018,115000,0.186245,29.832903089464,37.3897323410816,0.002,0.002,0,330835322152914560,29.83295815474,0.0419,37.38968095149,0.0532,0.0289,2.2723,0.0656,10.161,0.1,-11.936,0.152,false,162439,47.7607,12.661637,83320.4,148.514,13.04951,113893,121.647,12.120673,0.928837,4.59,11.17,6,5421,0.3783,0.221,1.28,1.281,0.076982
