col1,col2,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,AbsKmag,Kmag,r-K,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,angDist,objID,RAJ2000_x,DEJ2000_x,errHalfMaj_x,errHalfMin_x,errPosAng_x,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist_x,ra_epoch2000,dec_epoch2000,errHalfMaj_xa,errHalfMin_xa,errPosAng_xa,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist_xa
133.1593,21.15502,08523828+2109181,133.15954,21.155045,0.07,0.06,90,13.146,12.471,11.0247621787499,12.242,4.1506,0.023,0.022,0.023,AAA,222,0,2451120.9702,0.810783,133381331593996563,133.15934153,21.15502166,0.017,0.002,90,503635968,60,56037.17957176,5,79,17.5515,0.0061,17.6407,0.0067,115000,16.3926,0.0027,16.4566,0.0025,115000,15.1557,0.0024,15.2088,0.0035,115000,14.6114,0.0033,14.656,0.0029,115000,14.33,0.0042,14.3594,0.0041,115000,0.671617,133.1595121654428,21.155079350657,0.002,0.001,90,685747814353991296,133.15932760096,0.0617,21.15501805166,0.0417,5.7089,0.0678,-39.978,0.116,-14.237,0.093,false,8543.78,6.25749,15.859242,1781,8.54774,17.224728,10565.6,21.0989,14.702184,2.522544,,,0,3310,0.47,0.2637,0.52,0.029,0.155002
130.225,21.75663,08405404+2145241,130.225167,21.75671,0.11,0.08,89,15.213,14.648,12.9328098087916,14.242,4.9861,0.044,0.065,0.064,AAA,222,0,2451106.0049,0.628272,134101302250588529,130.22502146,21.75663422,0.008,0.003,90,503635968,60,55974.09546296,5,55,20.0581,0.0308,19.7106,0.0421,16892216,19.2281,0.0103,18.9892,0.0095,16892216,17.6785,0.0088,17.6601,0.0092,115000,16.9344,0.0049,16.9378,0.0105,115000,16.5318,0.0053,16.5657,0.0112,115000,0.557875,130.225188065417,21.7566952600838,0.007,0.004,90,665141141087298688,130.22501232226,0.238,21.75663126451,0.1378,5.4722,0.2588,-37.91,0.448,-14.864,0.27,false,758.295,1.43698,18.48877,164.057,5.51486,19.8139,1201.99,9.33767,17.062172,2.751728,,,0,,,,,,0.088185
129.7339,21.9408,08385616+2156271,129.73401,21.940865,0.07,0.06,175,15.278,14.585,12.929,14.357,5.0453,0.047,0.053,0.074,AAA,222,0,2451105.9854,0.435521,134321297339179526,129.73386339,21.94080586,0.01,0.006,0,503636096,60,56059.16122685,5,91,20.6444,0.0291,20.7306,0.0537,115000,19.4023,0.0106,19.51,0.0214,115000,17.6703,0.0054,17.7555,0.0101,115000,16.8727,0.0051,16.9413,0.0054,115000,16.4732,0.0059,16.5477,0.0101,115000,0.533858,129.7340199065063,21.9408601752576,0.008,0.006,90,665203233431193344,129.7338535432,0.2825,21.94080222561,0.1809,5.182,0.3648,-35.841,0.542,-13.459,0.375,false,793.416,1.2205,18.439613,109.924,5.99804,20.248661,1171.98,11.7929,17.08962,3.159041,,,0,,,,,,0.037363
130.8439,21.67163,08432257+2140181,130.844076,21.671711,0.06,0.06,90,9.328,8.976,7.71000930452042,8.97,1.417,0.02,0.02,0.018,AAA,222,0,2451109.9865,0.657064,134001308439616586,130.84392761,21.67167007,0.036,0.025,90,1409605632,168,54746.91166667,5,72,10.774,,,,114788,10.387,,,,114788,10.267,,,,114788,10.239,,,,114788,10.225,,,,114788,0.517849,130.8440463962947,21.6716950195754,0.001,0.001,90,664963024499946496,130.84387194771,0.039,21.67163315683,0.0234,5.5976,0.047,-37.653,0.075,-14.368,0.048,true,1299240,414.719,10.40414,681591,499.382,10.767578,875939,656.587,9.905735,0.861843,,,0,5516.3,0.423,0.2173,1.42,1.672,0.114536
130.7619,21.75375,08430289+2145136,130.762071,21.753801,0.11,0.1,0,13.975,13.434,11.8600383694962,13.069,5.2578,0.027,0.036,0.031,AAA,222,0,2451109.9806,0.600515,134101307619595058,130.76189763,21.75375056,0.003,0.002,90,503636096,60,56077.60530093,5,92,19.5852,0.0065,19.7195,0.0117,115000,18.3268,0.0054,18.4179,0.008,115000,16.5699,0.003,16.658,0.0079,115000,15.7796,0.005,15.8402,0.0056,115000,15.3533,0.0043,15.3868,0.0075,115000,0.607459,130.7620771262625,21.7538186727414,0.004,0.003,90,664976218639479296,130.76188472497,0.1266,21.75374664837,0.0797,5.7307,0.1567,-41.504,0.239,-16.728,0.178,false,2189.99,1.74613,17.337261,264.417,5.19412,19.295666,3203.24,7.98865,15.997946,3.29772,,,0,,,,,,0.066838
131.0454,21.79389,08441093+2147383,131.045544,21.793999,0.07,0.07,90,13.597,12.958,11.474,12.719,4.413,0.028,0.026,0.029,AAA,222,0,2451109.9962,0.621026,134151310454103257,131.04539144,21.79389825,0.007,0.001,90,503636096,60,55972.03771991,5,89,18.2964,0.0065,18.409,0.0079,115000,17.132,0.0058,17.2085,0.0037,115000,15.7342,0.0054,15.7915,0.0031,115000,15.1198,0.0032,15.1639,0.0039,115000,14.8126,0.0048,14.8358,0.0026,115000,0.625789,131.0455553717551,21.7939622635124,0.003,0.002,90,665059403566191872,131.04537513149,0.0948,21.79389426033,0.0562,5.636,0.1399,-38.87,0.184,-15.794,0.104,false,4861.39,2.93205,16.471464,884.204,6.19149,17.985008,6341.54,12.16,15.256434,2.728575,,,0,4065.55,0.478,0.275,,,0.137606
131.1841,21.12032,08444422+2107134,131.184276,21.120394,0.13,0.11,0,14.141,13.424,11.8117803245652,13.179,-13.179,0.029,0.029,0.032,AAA,222,0,2451110.0003,0.648302,133341311841574637,131.18415266,21.12034333,0.008,0.008,90,436281344,52,55899.69476852,5,5,20.7356,0.1232,21.7687,0.2212,118840,,,,,114720,,,,,114720,15.6934,0.0082,15.7505,0.0011,115000,15.3704,0.0044,15.4355,0.0018,115000,0.452585,131.1842941663244,21.1203865695808,0.004,0.002,90,664879667774808576,131.18411520152,0.1161,21.12032319487,0.0712,5.3279,0.138,-38.774,0.228,-14.719,0.149,false,2599.33,2.52621,17.15121,423.493,9.08343,18.784271,3549.84,12.1938,15.886398,2.897873,,,0,,,,,,0.066612
130.4308,21.49727,08414342+2129504,130.430917,21.497341,0.07,0.06,90,14.707,14.056,12.1807311002426,13.626,5.6562,0.032,0.045,0.043,AAA,222,0,2451106.0147,0.467885,133791304308087310,130.43078555,21.49726852,0.002,0.001,90,503635968,60,56050.47439815,5,81,20.5773,0.0178,20.6793,0.0475,115000,19.2822,0.0067,19.3857,0.0106,115000,17.4043,0.0027,17.4728,0.0067,115000,16.5313,0.0029,16.5795,0.0061,115000,16.0666,0.0056,16.1119,0.0084,115000,0.511808,130.4309328537553,21.4973334201286,0.006,0.004,90,664942404361149568,130.43077461127,0.1963,21.49726523363,0.1087,5.1398,0.2195,-34.196,0.384,-15.837,0.228,false,1030.29,1.42665,18.155972,131.011,7.36848,20.058123,1579.7,6.69985,16.765486,3.292637,,,0,,,,,,0.059704
130.9023,21.31932,08433659+2119097,130.902482,21.31938,0.07,0.06,0,13.877,13.257,11.7331009104284,13.039,4.5016,0.03,0.035,0.026,AAA,222,0,2451109.9905,0.647456,133581309022203772,130.90227656,21.31932742,0.002,0.002,90,503636096,60,56063.9841088,5,71,18.7819,0.0116,18.8963,0.0172,115000,17.5406,0.0094,17.6264,0.0124,115000,16.1398,0.0095,16.1969,0.0083,115000,15.4533,0.0019,15.5128,0.0042,115000,15.1625,0.0014,15.1914,0.0062,115000,0.714503,130.9024328407648,21.3193865099425,0.003,0.002,90,664898256393208704,130.90226479574,0.1001,21.31932360994,0.0502,5.4805,0.1179,-36.359,0.186,-14.609,0.109,false,3322.33,2.09911,16.88476,545.917,4.71675,18.508572,4462.1,11.1678,15.638071,2.870501,,,0,3841.17,0.5613,0.341,,,0.16652
131.7675,22.27371,08470424+2216256,131.767689,22.273787,0.06,0.06,90,12.153,11.496,9.94239367588448,11.283,3.1517,0.027,0.032,0.018,AAA,222,0,2451622.6376,0.68795,134721317676069019,131.76755146,22.27371679,0.006,0.002,90,503635968,60,55849.82914352,5,60,15.6102,0.0051,15.6783,0.0026,115000,14.4347,0.0039,14.4886,0.0026,115000,13.7485,0.0033,13.7974,0.0056,115000,13.4664,0.0048,13.5083,0.0104,115000,13.2921,0.0051,13.2947,0.0162,115000,0.523289,131.767717552188,22.2737752878595,0.001,0.001,90,665054283965182208,131.76754062268,0.0304,22.27371358549,0.0174,5.3936,0.0408,-38.027,0.058,-14.331,0.035,false,34963.7,11.4084,14.329321,10859.2,31.2657,15.261896,35916.9,76.541,13.373674,1.888222,,,0,3891,0.442,0.22,0.64,0.085,0.104044
