#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-12-27T07:00:22 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5c245d33af68	
#INFO	-out.form=mini	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-sort=_r
#-nav=cat:I/324&cat:I/337&cat:I/345&tab:{I/345/gaia2}&cat:I/347&cat:VI/137&cat:VI/145&cat:J/A+A/523/A48&cat:V/149&cat:IX/52&key:source=GAIA+DR2&HTTPPRM:&&-ref=VIZ5c245d33af68&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=dec&-c.r=  2&-c.geom=r&-out.orig=standard&-order=I&-out=RA_ICRS&-out=e_RA_ICRS&-out=DE_ICRS&-out=e_DE_ICRS&-out=Source&-out=Plx&-out=e_Plx&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=Dup&-out=FG&-out=e_FG&-out=Gmag&-out=e_Gmag&-out=FBP&-out=e_FBP&-out=BPmag&-out=e_BPmag&-out=FRP&-out=e_FRP&-out=RPmag&-out=e_RPmag&-out=BP-RP&-out=RV&-out=e_RV&-out=Teff&-out=AG&-out=E(BP-RP)&-out=Rad&-out=Lum&-out=ID&-out=eRV&-out=s_RV&-out=Tbase&-out=JDm&-out=N&-out=VC&-ignore=VC=*&VC=VC&-out=Flag&-out=RVS&-out=e_RVS&-out=o_RVS&-out=2MASS&-out=Jmag&-out=e_Jmag&-out=Hmag&-out=e_Hmag&-out=Kmag&-out=e_Kmag&-out=Qflag&-out=Bmag&-out=Vmag&-out=SpType&-out=otype&-out=Simbad&Simbad=Simbad&-out=_RA.icrs&-out=_DE.icrs&-out=Instr&-out=JD&-out=Mask&-out=Idspec&-out=Allwise&-out=IERS&-out=LC&LC=LC&-out=TBest&-out=Pf&-out=P1O&-out=P2O&-out=P3O&-out=EpG&-out=EpBP&-out=EpRP&-out=AmpG&-out=AmpBP&-out=AmpRP&-out=[Fe/H]&-out=R21G&-out=R31G&-out=phi21G&-out=phi31G&-out=MBOL&-out=e_MBOL&-out=Flag&-out=BolCorr&-out=e_BolCorr&-out=Freq&-out=e_Freq&-out=Classifier&-out=BClass&-out=BClassScore&-out=Amp&-out=Nfov&-out=abbe&-out=Nvario&-out=Tvario&-out=Vvario&-out=NGmag&-out=TimeGmag&-out=DurGmag&-out=NBPmag&-out=TimeBPmag&-out=DurBPmag&-out=NRPmag&-out=TimeRPmag&-out=DurRPmag&-out=Ntrans&-out=TransitID&-out=TimeG&-out=TimeBP&-out=TimeRP&-out=VarGr&-out=VarBPr&-out=VarRPr&-out=ProtB&-out=AImax&-out=Gunsp&-out=BPunsp&-out=RPunsp&-out=Nseg&-out=Nout&-out=SProt&-out=FAPsPRot&-out=Scos&-out=Ssin&-out=Sa0&-out=SAI&-out=SGunsp&-out=SBPunsp&-out=SRPunsp&-out=STimeS&-out=STimeE&-out=ScolI&-out=ScolM&-out=Scor&-out=Ssigni&-out=TimeOutliers&-out=Nobs&-out=MPC&-out=Name&-out=astorb&astorb=astorb&-out=Slopeg&-out=Code&-out=Obs.arc&-out=Obs.num&-out=Obs.epoch&-out=Orb.m&-out=Omega&-out=Node&-out=Incl&-out=Eccen&-out=a&-out=Orb.Date&-out=CEU&-out=CEU.rate&-out=CEU.epoch&-out=Transit&-out=Obs.ID&-out=Epoch&-out=Res.RA&-out=Res.DE&-out=Res.AL&-out=Res.AC&-out=Select&-file=-c&-out.max=unlimited&-out.form=Tab-Separated-Values&-c.eq=J2000&-c.u=arcmin&
#-c.r=  2
#-c.geom=r
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=Plx
#-out=Gmag
#-out=BPmag
#-out=RPmag
#-out=BP-RP
#-out.max=unlimited
#-c.eq=J2000
#-c.u=arcsec
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	BPmag	(F7.4)	? Integrated BP mean magnitude (Vega) (phot_bp_mean_mag) (26)	[ucd=phot.mag;stat.mean;em.opt.B]
#Column	RPmag	(F7.4)	? Integrated RP mean magnitude (Vega) (phot_rp_mean_mag) (29)	[ucd=phot.mag;stat.mean;em.opt.R]
#Column	BP-RP	(F7.4)	? BP-RP colour (photBpMeanMag-photRMeanMag) (bp_rp)	[ucd=phot.color;em.opt.B;em.opt.R]
Plx|Gmag|BPmag|RPmag|BP-RP
mas|mag|mag|mag|mag
----------|-------|-------|-------|-------
    7.2784|16.9610|18.7742|15.6542| 3.1200

    7.2174|16.8687|18.5945|15.5875| 3.0070

    7.6461|12.7291|13.4372|11.9303| 1.5069

    7.8854|16.3963|18.1323|15.1066| 3.0257

    7.1620|17.9501|19.7914|16.5884| 3.2031

    7.2901|15.8134|17.3369|14.6094| 2.7275

    7.2049|16.3547|18.1894|15.0572| 3.1322

    6.9997|15.6113|17.0542|14.4298| 2.6244

    7.1317|16.9770|18.8655|15.6669| 3.1986

    7.0144|16.9285|18.7691|15.6239| 3.1452

    7.7228|17.5492|19.5610|16.2123| 3.3487

    7.6007|15.1486|16.5368|13.9928| 2.5441

    7.3190|13.4878|14.3286|12.6005| 1.7281

    7.4107|15.9466|17.5615|14.6968| 2.8647

    7.0315|18.0499|19.9143|16.6943| 3.2200

    7.5137|14.8424|16.2325|13.6856| 2.5469

    7.6034|16.8737|18.6190|15.5965| 3.0225

    7.0116|17.4036|19.5544|16.0309| 3.5236

    7.1512|16.5690|18.5126|15.2424| 3.2702

    7.3526|17.8391|19.7665|16.4686| 3.2979

    7.7802|16.5512|18.3581|15.2722| 3.0859

    7.6147|15.5863|17.1313|14.3748| 2.7565

    7.7611| 9.2082| 9.5267| 8.7611| 0.7656

    7.5446|18.0545|       |       |
    6.7169|15.3090|16.5772|14.1047| 2.4724

    7.5435|17.4839|19.5652|16.0554| 3.5097

    7.3249|11.5221|12.1072|10.8195| 1.2877

    7.6224|17.6215|19.5082|16.2756| 3.2326

    7.7159|16.0683|17.7153|14.8232| 2.8921

    7.1701|11.8580|12.3898|11.1978| 1.1920

    7.2260|17.1758|18.9767|15.8801| 3.0966

    7.7227|17.2341|19.0472|15.9180| 3.1292

    7.1600|17.2157|18.9988|15.9217| 3.0771

    7.4833|14.1060|15.1140|13.1186| 1.9954

    7.3491|16.2312|17.8914|14.9846| 2.9068

    7.4129|12.1922|12.7701|11.4911| 1.2790

    7.3090|15.6913|17.2531|14.4443| 2.8089

    7.4596|16.2982|17.9475|15.0514| 2.8961

    7.6870|13.3333|14.1703|12.4395| 1.7308

    7.0978|14.4017|15.5194|13.3504| 2.1691

    7.5164|11.4394|11.9227|10.8077| 1.1150

    7.4319|17.7564|19.8925|16.3991| 3.4934

    7.6645|15.6446|17.1156|14.4480| 2.6676

    7.2435|11.2191|11.6721|10.6487| 1.0234

    7.0511|17.5686|19.4999|16.2346| 3.2653

    7.2328|11.1563|11.6289|10.5532| 1.0758

    6.7470|17.1346|19.0454|15.8015| 3.2438

    7.0158|16.0045|       |       |
    7.2638|14.9821|16.0761|13.5901| 2.4859

    7.3461|15.8613|17.4076|14.6409| 2.7667

    7.3136|16.2834|17.9509|15.0311| 2.9198

    7.2302|15.5947|17.1073|14.3886| 2.7187

    7.8503|16.7181|18.4767|15.4258| 3.0508

    7.2232|16.5180|18.1746|15.2610| 2.9137

    7.3281|15.0420|16.3578|13.9064| 2.4514

    7.8032|18.2080|20.2422|16.8070| 3.4352

    7.3010|16.6059|18.4559|15.2907| 3.1652

    7.0751|16.0024|17.7797|14.7095| 3.0703
   -0.3365|20.4929|       |       |

    7.1569|16.4925|18.2375|15.2097| 3.0278

    7.1338|16.4925|17.7842|14.7214| 3.0628
          |16.7564|       |       |

    7.9842|16.6762|18.4604|15.3936| 3.0668

    7.3682|15.5818|17.0301|14.3980| 2.6321

    7.9702|18.0565|20.3370|16.6415| 3.6956

    7.8445|17.2295|19.0623|15.9185| 3.1439

    6.9178|16.7649|       |       |
    6.7441|15.9953|17.5140|14.4794| 3.0346

    7.2528|16.6799|18.6682|15.3385| 3.3297

    7.0783| 8.2577| 8.4009| 8.0472| 0.3537

    7.2493|17.3445|19.3961|15.9655| 3.4306

    7.1740|16.7771|18.5004|15.5023| 2.9980

    7.3227|12.4151|13.0511|11.6695| 1.3816

    7.6494|15.8107|17.4114|14.5866| 2.8248

    7.1951|15.5539|17.0007|14.3668| 2.6339

    7.7170|14.9229|15.9164|13.4068| 2.5097
   10.5102|15.1186|       |       |

    7.1689|16.4892|18.2239|15.2132| 3.0107

    7.4722|16.5052|18.1750|15.2449| 2.9302

    7.2876|17.8764|19.7904|16.5225| 3.2678

    6.7923|14.0007|14.9878|13.0192| 1.9685

    7.0163|14.3560|15.4519|13.3155| 2.1364

    7.2455|12.6328|13.3213|11.8394| 1.4818

    7.5676|11.7389|12.2574|11.0932| 1.1642

    7.0084|16.8486|18.6588|15.5521| 3.1067

    7.4855|15.8230|17.3279|14.6125| 2.7155

    7.4405|16.1194|17.7387|14.8725| 2.8662

    7.5917|16.5583|18.3310|15.2689| 3.0620

    6.9193|19.0729|21.0811|17.5781| 3.5030

    7.1584|16.4919|18.2347|15.2144| 3.0203

